Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.2325891,0.8983672,0.4651783,0.167111,0.9085118
Number Invariant Sites Excluding Ambiguous,0.07697434,0.9703432,0.1539487,0.05331556,1.385133
Max Invariant Block Length,0.6397867,0.9776741,1.279573,0.3310563,0
Max Invariant Block Length Excluding Ambiguous,0.4965012,1,0.9930023,0.2482506,0.6646387
Max Pairwise Difference,0.9926691,0.02965678,0.05931356,0.9815062,1.980486
Max Pairwise Difference Excluding Ambiguous,0.9323559,0.1756081,0.3512163,0.8783739,1.271991
Max Variable Block Length,0.9633456,0.04331889,0.08663779,0.9600133,2.00587
Max Variable Block Length Excluding Ambiguous,0.9733422,0.06831056,0.1366211,0.9525158,2.158354
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.5048317,0.7087637,1.009663,0.398034,0
Number Invariable Block,0.2719094,0.8893702,0.5438187,0.1912696,1.11192
Number Invariable Block Excluding Ambiguous,0.2209264,0.928024,0.4418527,0.1464512,1.339708
Segregating-Sites,0.8983672,0.2325891,0.4651783,0.832889,0.9085118
Theta,0.8983672,0.2325891,0.4651783,0.832889,0.9085128
Tajima-D,0.9440187,0.05598134,0.1119627,0.9440187,1.540804
Tajima-Pi,0.9836721,0.01666111,0.03332223,0.9835055,1.929583
