Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4518494,0.8343885,0.9036988,0.3087304,0.6646143
Number Invariant Sites Excluding Ambiguous,0.5974675,0.5431523,1.086305,0.5271576,0
Max Invariant Block Length,0.8653782,0.8343885,1.668777,0.5154948,0
Max Invariant Block Length Excluding Ambiguous,0.9823392,0.03332223,0.06664445,0.9745085,2.959178
Max Pairwise Difference,1,0.0006664445,0.001332889,0.9996668,2.725829
Max Pairwise Difference Excluding Ambiguous,0.9946684,0.02299234,0.04598467,0.9858381,1.711371
Max Variable Block Length,0.2885705,0.7514162,0.577141,0.2685771,0.69968
Max Variable Block Length Excluding Ambiguous,0.9240253,0.110963,0.221926,0.9065312,1.470728
Min Pairwise Difference,1,0.4711763,0.9423525,0.7644119,2.002998
Min Pairwise Difference Excluding Ambiguous,0.2795735,0.8543819,0.559147,0.2125958,0.9096579
Number Invariable Block,0.4745085,0.8343885,0.949017,0.32006,0.77083
Number Invariable Block Excluding Ambiguous,0.06231256,0.9896701,0.1246251,0.03632123,1.754121
Segregating-Sites,0.8343885,0.4518494,0.9036988,0.6912696,0.6646143
Theta,0.8343885,0.4518494,0.9036988,0.6912696,0.6646092
Tajima-D,0.9113629,0.08963679,0.1792736,0.910863,1.183652
Tajima-Pi,0.9586804,0.04665112,0.09330223,0.9560147,1.453791
