Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
3,24,2,6,6,29,22,4,0,0,2,8,37,0.3063038,-3.68738,0.05757576
4,25,1,8,10,30,21,5,0,1,4,7,36,0.2980253,-2.731394,0.1185606
3,23,2,8,10,29,16,6,0,0,2,8,37,0.3063038,-2.788898,0.1181818
4,29,2,6,5,27,19,2,0,0,3,9,36,0.2980253,-3.550027,0.06477273
2,26,1,4,7,30,22,3,0,0,2,10,38,0.3145823,-3.604324,0.06515152
2,29,1,8,6,28,21,3,0,0,2,9,38,0.3145823,-3.440117,0.07651515
5,29,2,8,6,25,15,3,0,0,3,8,35,0.2897469,-3.618384,0.05833333
4,34,3,16,5,27,17,3,0,0,2,4,36,0.2980253,-3.930519,0.03977273
3,26,1,6,8,29,25,4,0,0,3,8,37,0.3063038,-3.305525,0.08333333
5,31,1,12,6,26,11,3,0,0,5,6,35,0.2897469,-3.878984,0.04166667
3,28,1,5,8,28,17,4,0,0,3,9,37,0.3063038,-3.305525,0.08333333
8,35,3,16,2,26,11,2,0,0,5,5,32,0.2649114,-4.177004,0.01969697
6,25,1,4,8,26,10,2,0,0,6,11,34,0.2814684,-3.063391,0.09090909
3,28,2,6,7,30,21,2,0,0,2,10,37,0.3063038,-3.603147,0.06325758
3,29,1,7,7,30,30,4,0,0,3,8,37,0.3063038,-3.507684,0.06969697
9,35,4,15,4,24,10,2,0,0,4,4,31,0.2566329,-3.860717,0.03674242
3,29,2,10,8,28,18,5,0,0,2,5,37,0.3063038,-3.715457,0.05568182
4,31,3,9,4,29,20,2,0,0,2,8,36,0.2980253,-3.705683,0.05454545
4,29,1,7,5,30,14,3,0,0,4,10,36,0.2980253,-3.930519,0.03977273
7,30,2,7,5,27,14,2,0,0,6,9,33,0.2731899,-3.641672,0.0530303
4,36,3,12,2,28,20,2,0,0,2,4,36,0.2980253,-4.287951,0.01628788
