Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
1,4,1,4,20,21,21,20,0,0,1,1,23,0.1851001,4.159412,0.446069
0,4,0,4,19,23,24,20,0,0,0,1,24,0.193148,4.550634,0.4894865
0,4,0,4,20,22,24,20,0,0,0,1,24,0.193148,4.77697,0.5042256
1,4,1,4,18,19,22,20,0,0,1,1,23,0.1851001,4.698338,0.4798822
1,5,1,4,17,19,15,15,0,0,1,2,23,0.1851001,3.311245,0.3928535
0,4,0,4,18,20,24,20,0,0,0,1,24,0.193148,3.247683,0.404638
0,4,0,4,18,20,24,20,0,0,0,1,24,0.193148,3.884423,0.4461027
0,4,0,4,18,20,24,20,0,0,0,1,24,0.193148,3.869429,0.4451263
0,3,0,2,18,21,24,20,0,0,0,2,24,0.193148,2.463199,0.3535522
0,3,0,2,19,22,24,20,0,0,0,2,24,0.193148,5.015197,0.5197391
0,4,0,4,19,21,24,20,0,0,0,1,24,0.193148,4.676146,0.4976599
0,4,0,4,19,21,24,20,0,0,0,1,24,0.193148,4.319257,0.4744192
0,4,0,4,17,19,24,20,0,0,0,1,24,0.193148,3.235145,0.4038215
0,4,0,4,18,22,24,20,0,0,0,1,24,0.193148,3.627969,0.4294024
0,3,0,3,19,22,24,20,0,0,0,1,24,0.193148,4.541585,0.4888973
1,4,1,4,20,21,20,20,0,0,1,1,23,0.1851001,5.408855,0.5244613
0,3,0,3,19,21,24,20,0,0,0,1,24,0.193148,3.75542,0.437702
0,4,0,4,20,23,24,20,0,0,0,1,24,0.193148,4.617849,0.4938636
0,4,0,4,20,22,24,20,0,0,0,1,24,0.193148,4.747627,0.5023148
0,4,0,4,19,23,24,20,0,0,0,1,24,0.193148,4.477989,0.4847559
0,4,0,4,17,19,24,20,0,0,0,1,24,0.193148,3.329118,0.4099411
0,4,0,4,18,21,24,20,0,0,0,1,24,0.193148,2.614693,0.3634175
0,4,0,4,18,21,24,20,0,0,0,1,24,0.193148,3.885974,0.4462037
1,4,1,4,18,18,20,20,0,0,1,1,23,0.1851001,3.653759,0.4143434
0,4,0,4,20,22,24,20,0,0,0,1,24,0.193148,5.198489,0.5316751
0,4,0,4,19,19,24,20,0,0,0,1,24,0.193148,3.785021,0.4396296
0,4,0,4,19,21,24,20,0,0,0,1,24,0.193148,4.443735,0.4825253
0,4,0,4,19,21,24,20,0,0,0,1,24,0.193148,4.716992,0.5003199
0,4,0,4,19,20,24,20,0,0,0,1,24,0.193148,2.95801,0.3857744
