Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
0,3,0,2,17,22,25,22,3,5,0,2,25,0.3311393,2.32086,0.5036364
3,6,2,3,17,18,18,18,0,1,2,3,22,0.2914026,2.539321,0.4587879
1,5,1,3,19,23,24,20,0,0,1,2,24,0.3178937,2.757976,0.5151515
0,3,0,2,17,22,25,22,2,2,0,2,25,0.3311393,1.717447,0.4587879
1,3,1,1,18,21,24,21,0,0,1,3,24,0.3178937,2.546134,0.5
2,7,2,3,14,18,13,10,4,4,1,3,23,0.3046481,1.608018,0.4151515
0,5,0,3,20,22,25,20,0,0,0,2,25,0.3311393,2.91612,0.5478788
0,3,0,2,18,21,25,22,4,4,0,2,25,0.3311393,1.790835,0.4642424
3,5,1,1,16,20,11,11,6,8,3,5,22,0.2914026,2.649652,0.4660606
0,5,0,3,20,22,25,20,0,2,0,2,25,0.3311393,3.323831,0.5781818
0,5,0,3,18,21,25,20,0,2,0,2,25,0.3311393,1.970228,0.4775758
0,3,0,1,20,23,25,21,5,6,0,3,25,0.3311393,3.389065,0.5830303
0,5,0,3,20,22,25,20,1,6,0,2,25,0.3311393,2.508408,0.5175758
2,3,1,2,19,20,23,22,4,4,2,2,23,0.3046481,2.710423,0.4909091
3,4,1,2,18,18,21,20,2,2,3,3,22,0.2914026,2.787566,0.4751515
1,4,1,2,18,22,23,20,4,4,1,3,24,0.3178937,2.817292,0.5193939
1,5,1,3,19,22,24,20,0,1,1,2,24,0.3178937,2.435976,0.4921212
2,5,1,3,17,21,22,19,0,0,2,3,23,0.3046481,2.137172,0.4515152
0,4,0,2,19,23,25,21,2,2,0,2,25,0.3311393,2.80196,0.5393939
0,5,0,3,19,21,25,20,2,5,0,2,25,0.3311393,2.492099,0.5163636
0,4,0,2,19,21,25,21,2,2,0,2,25,0.3311393,2.630721,0.5266667
1,4,1,2,19,22,22,20,2,2,1,3,24,0.3178937,2.571555,0.5018182
1,4,1,3,19,23,24,21,3,3,1,2,24,0.3178937,3.317239,0.5551515
2,5,1,3,20,23,22,20,0,1,2,2,23,0.3046481,3.636443,0.5545455
1,4,1,2,18,19,20,18,1,1,1,3,24,0.3178937,2.190239,0.4745455
0,4,0,3,18,22,25,21,1,1,0,2,25,0.3311393,2.483945,0.5157576
1,4,1,1,17,23,24,14,4,4,1,4,24,0.3178937,2.461397,0.4939394
0,5,0,3,19,22,25,20,2,6,0,2,25,0.3311393,2.508408,0.5175758
0,3,0,2,18,21,25,22,5,5,0,2,25,0.3311393,2.190393,0.4939394
1,2,1,1,19,23,24,23,4,4,1,2,24,0.3178937,3.224029,0.5484848
0,5,0,3,18,22,25,20,2,4,0,2,25,0.3311393,1.725601,0.4593939
1,4,1,2,19,21,24,21,4,5,1,2,24,0.3178937,3.495187,0.5678788
4,7,1,4,17,18,14,14,1,1,4,3,21,0.278157,2.717944,0.449697
0,2,0,1,18,22,25,23,1,1,0,2,25,0.3311393,2.329015,0.5042424
1,5,1,3,16,19,23,20,4,4,1,2,24,0.3178937,1.690292,0.4387879
2,5,1,3,18,20,22,20,3,4,2,2,23,0.3046481,2.913265,0.5048485
0,3,0,2,18,22,25,22,0,2,0,2,25,0.3311393,2.541025,0.52
0,5,0,3,19,22,25,20,0,0,0,2,25,0.3311393,2.606259,0.5248485
1,5,1,3,19,22,22,20,0,2,1,2,24,0.3178937,2.851187,0.5218182
1,4,1,2,19,22,24,21,3,3,1,2,24,0.3178937,3.198608,0.5466667
1,5,1,3,17,19,24,20,3,4,1,2,24,0.3178937,2.300397,0.4824242
0,5,0,3,18,21,25,20,0,2,0,2,25,0.3311393,2.263781,0.4993939
3,6,1,3,18,21,10,10,2,2,3,3,22,0.2914026,3.127753,0.4975758
0,5,0,3,19,23,25,20,4,4,0,2,25,0.3311393,2.53287,0.5193939
0,3,0,2,20,22,25,22,5,5,0,2,25,0.3311393,3.12813,0.5636364
0,3,0,1,18,23,25,17,0,1,0,3,25,0.3311393,2.288243,0.5012121
0,3,0,2,19,22,25,22,0,0,0,2,25,0.3311393,2.80196,0.5393939
