Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-259.7816	-245.3	-14.48167	4.761452	0.0304846	0.01811912	0.0136722	0.307854	0.028367	0.00309224	0.0179362	0.0518917	0.0241549	0.00539686	0.027295	0.0577081	0.13968	0.0154908	0.174638	0.0933773	0.0394458	0.01991615	43.45047	0.491858	0.798011	1.08369	1.62644	0.225067	0.26397	0.0790444	0.104891	0.183156	0.143871	0.03803527	0.5236231
100	-266.2025	-259.8283	-6.374145	2.235542	0.2054012	0.04238023	0.0305154	0.107814	0.0687344	0.151734	0.0868412	0.118236	0.0326717	0.0502199	0.0416427	0.00244168	0.0268655	0.00216199	0.17567	0.0819795	0.0224722	0.007702307	12.23217	0.319858	0.677931	1.0749	1.92731	0.249076	0.184618	0.167437	0.075781	0.107196	0.215891	0.05008253	0.1537923
200	-262.9586	-250.453	-12.50566	2.267725	0.0185124	0.02493583	0.0510853	0.0846172	0.085643	0.0636702	0.0082247	0.0611797	0.0328823	0.0420779	0.0820259	0.0967777	0.147996	0.0144516	0.0661583	0.0912303	0.0719794	0.001394447	61.36979	0.323267	0.680765	1.07544	1.92052	0.195779	0.20461	0.111323	0.124287	0.18962	0.174382	0.02633027	0.05295985
300	-260.2392	-252.6099	-7.629306	1.222529	0.158402	0.04621607	0.0252164	0.140487	0.0199527	0.0867771	0.00985145	0.0789773	0.00843383	0.0100149	0.0695527	0.125349	0.0505102	0.0139551	0.24213	0.0834989	0.0352933	0.01616029	34.63287	0.179112	0.534754	1.02892	2.25722	0.137062	0.230285	0.157884	0.152837	0.167835	0.154097	0.06237635	0.2590771
400	-263.4226	-252.6126	-10.81003	4.668205	0.09285886	0.1297059	0.00642424	0.184175	0.0451079	0.0274308	0.0187831	0.174568	0.00479136	0.00680094	0.0385607	0.146727	0.015098	0.0299264	0.175418	0.120942	0.00524724	0.001685429	20.02441	0.487685	0.79555	1.08383	1.63294	0.22393	0.173085	0.163783	0.176115	0.147796	0.115291	0.1313913	0.01282755
500	-268.8218	-258.8255	-9.996283	2.245473	0.2468973	0.1724863	0.0301966	0.0735732	0.0205121	0.0169835	0.0345198	0.0132048	0.11445	0.0696647	0.0694778	0.0908743	0.00973762	0.0488099	0.0381983	0.0782016	0.291596	0.07079207	13.17929	0.320916	0.678812	1.07507	1.9252	0.293895	0.213656	0.125802	0.0911605	0.160865	0.114621	0.2432784	0.290992
600	-277.9112	-260.75	-17.16115	1.450084	0.01340612	0.01573621	0.0592131	0.0752715	0.0403263	0.0442223	0.00849558	0.0367535	0.0275579	0.152936	0.0218197	0.0639304	0.184583	0.0316177	0.139471	0.0800672	0.0337346	0.0005123163	158.4355	0.217508	0.580031	1.04735	2.15511	0.269532	0.195513	0.139419	0.0579037	0.0967496	0.240882	0.01624853	0.03153001
700	-255.5375	-245.3091	-10.2284	1.679678	0.05417024	0.04739282	0.0243486	0.113044	0.162284	0.0276797	0.0365533	0.108753	0.0493548	0.0280316	0.0138989	0.0188691	0.0190606	0.0214863	0.252126	0.0709827	0.0535266	0.002026506	53.34266	0.251793	0.615967	1.05944	2.0728	0.273471	0.247617	0.104155	0.0785766	0.155777	0.140404	0.04941933	0.04100635
800	-262.0533	-252.3836	-9.669629	2.041092	0.1180091	0.1510227	0.0326646	0.370107	0.0414563	0.0111755	0.000917836	0.0361109	0.0375109	0.0357085	0.0229058	0.0135869	0.0452475	0.0225185	0.197092	0.10491	0.0280883	0.1146481	12.60576	0.298131	0.659313	1.07098	1.97157	0.221303	0.215375	0.0773229	0.109553	0.208368	0.168078	0.2656709	0.431542
900	-272.3056	-260.9011	-11.40441	1.76579	0.06264795	0.03762487	0.0680632	0.178442	0.00961198	0.00423203	0.0500573	0.00588131	0.0123557	0.0987844	0.0643575	0.0854477	0.0611746	0.0827888	0.0782058	0.176684	0.0239132	0.002604988	43.72391	0.263619	0.627549	1.06285	2.04598	0.234357	0.237117	0.0848397	0.201493	0.156582	0.0856105	0.04022985	0.0647526
