Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-405.2619	-310.4713	-94.79056	10.25093	2.401137	0.05753598	0.1908236	0.0574256	0.212335	0.0105745	0.00161481	0.0520054	0.0302009	0.0824364	0.0334527	0.121479	0.00990432	0.183563	0.0191675	0.0812453	0.0896532	0.0149421	0.2649317	6	11.81787	0.1348477	0.336879	0.691855	1.07741	1.89385	0.266346	0.304958	0.124311	0.0554523	0.143244	0.105689	0.4557553	0.5813026
1	0	-410.5228	-311.4303	-99.09246	9.724965	1.703331	0.05584174	0.1241617	0.0410447	0.0632487	0.00714398	0.0134653	0.00641921	0.0130582	0.191848	0.0327752	0.0931405	0.0761848	0.147405	0.0125409	0.123816	0.145984	0.0319261	0.3301042	8	13.73101	0.1016423	0.255094	0.619239	1.06042	2.06524	0.27774	0.228903	0.202416	0.106901	0.106519	0.0775203	0.4542659	0.7266762
2	0	-404.7144	-308.6971	-96.01732	9.191591	2.851778	0.04983658	9.348989e-05	0.0632673	0.165086	0.026079	0.0367737	0.00660692	0.0019594	0.125986	0.00714624	0.188649	0.0194828	0.11694	0.101382	0.0857327	0.0521455	0.0027626	0.5670541	3	10.71665	0.1049901	0.37746	0.722976	1.08168	1.81788	0.164104	0.35223	0.136407	0.0993633	0.178203	0.0696926	0.5671476	0.9998352
3	0	-417.0931	-317.1399	-99.95325	8.69066	3.094693	0.05248043	0.08136198	0.0607229	0.192529	0.102215	0.127557	0.0155501	0.00211964	0.167093	0.0135462	0.136517	0.000801382	0.0644552	0.0554924	0.0190333	0.0373602	0.00500689	0.4197494	8	11.38969	0.100318	0.396457	0.73664	1.08295	1.78396	0.233011	0.221007	0.137994	0.0994079	0.227674	0.0809057	0.5011114	0.8376369
4	0	-409.4105	-308.8817	-100.5287	10.85559	3.319413	0.05325563	0.2023219	0.0241922	0.134592	0.0211216	0.115304	0.00546995	3.0476e-05	0.155245	0.00586342	0.114897	0.0383613	0.206591	0.0478497	0.0880074	0.0358663	0.00660856	0.2853302	7	15.04112	0.1208397	0.412556	0.747809	1.0837	1.75594	0.30573	0.274619	0.113589	0.0973401	0.0998761	0.108845	0.4876521	0.5851102
5	0	-410.4059	-307.2148	-103.1911	10.76504	3.812134	0.05695552	0.08589395	0.0642279	0.145197	0.0242558	0.11194	0.0261758	0.0324225	0.0507515	0.0123964	0.233402	0.000194086	0.121057	0.00895734	0.017516	0.0999035	0.0516026	0.5400729	9	11.70539	0.05309776	0.443734	0.768451	1.08438	1.70343	0.230029	0.347783	0.128031	0.0888706	0.113911	0.0913752	0.6259669	0.862782
6	0	-403.9822	-308.9161	-95.06611	10.54599	4.401087	0.06464182	0.1955336	0.051853	0.150384	0.00191522	0.00532968	0.0181552	0.0022091	0.0909676	0.00812494	0.0980289	0.0126406	0.304092	0.0599085	0.0796984	0.104221	0.0124715	0.2648386	6	15.35446	0.2005732	0.475125	0.788029	1.08415	1.65269	0.123955	0.426937	0.115397	0.0907535	0.108574	0.134384	0.4603722	0.5752707
7	0	-409.9233	-318.998	-90.92526	7.579005	5.891656	0.08266797	0.1682278	0.0067459	0.0459411	0.0338377	0.0206596	0.00973852	0.0175178	0.20938	0.0170917	0.0615864	0.0696932	0.0768372	0.0139422	0.0817357	0.281866	0.0534279	0.642169	5	8.404427	0.1351262	0.535367	0.822611	1.0815	1.56052	0.232541	0.276642	0.104377	0.0735381	0.210555	0.102347	0.8103968	0.792413
8	0	-402.9854	-304.506	-98.47944	9.409491	5.369281	0.07428569	0.1805267	0.0167156	0.195991	0.0411393	0.00414124	0.016985	0.0036216	0.239139	0.0202042	0.036787	0.113437	0.124123	0.0271056	0.00880216	0.137392	0.0144151	0.4429483	8	12.31952	0.1112487	0.516728	0.812303	1.08261	1.58836	0.187821	0.318194	0.0779968	0.0806076	0.189769	0.145612	0.623475	0.7104508
9	0	-402.5036	-303.7978	-98.70579	11.20449	1.447963	0.04074231	0.1154807	0.0344558	0.199366	0.0179011	0.00635894	0.00543891	0.0177039	0.266124	0.0250664	0.0802563	0.0196364	0.113617	0.0165811	0.0936207	0.0990884	0.00478435	0.553814	9	12.15132	0.08446734	0.217171	0.579659	1.04721	2.15596	0.234475	0.298678	0.114373	0.0598563	0.170247	0.122371	0.6692948	0.8274591
10	0	-402.8614	-304.6805	-98.1809	11.40862	3.407832	0.0489201	-0.06982085	0.0496202	0.116098	0.0237246	0.0332386	0.00743467	0.000927694	0.0784903	0.0133925	0.0572599	0.052848	0.121121	0.0893084	0.172474	0.13306	0.0510014	0.6186738	7	12.05949	0.08497656	0.418543	0.751871	1.0839	1.74568	0.185266	0.359	0.0828422	0.0781461	0.152399	0.142347	0.5488529	1.127212
11	0	-413.5064	-310.2915	-103.2149	12.40336	1.479499	0.06012858	-0.1117991	0.0302578	0.105648	0.000273931	0.00378146	0.0098341	0.00464765	0.18087	0.0234765	0.0675116	0.116297	0.222369	0.0484251	0.0452135	0.122878	0.0185163	0.5489893	7	12.45378	0.1510146	0.222138	0.585108	1.04919	2.14356	0.247272	0.244088	0.0957307	0.0605379	0.242054	0.110317	0.4371902	1.255722
12	0	-416.295	-320.9979	-95.29702	11.25129	2.35071	0.04996977	0.003274123	0.0391415	0.18484	0.0298389	0.0730542	0.0108757	0.0426867	0.117806	0.0374671	0.0604034	0.137032	0.149074	0.0253181	0.0652555	0.0236583	0.00354871	0.493584	5	15.09984	0.1391921	0.33183	0.687782	1.07672	1.90367	0.16464	0.251691	0.0908694	0.0845123	0.158416	0.249871	0.4968581	0.9934103
13	0	-411.2904	-307.9748	-103.3156	13.72341	1.899886	0.0558503	0.006285973	0.0294083	0.0854843	0.00100844	0.031437	0.0154886	0.0155174	0.148958	0.00934665	0.0626603	0.0182741	0.149407	0.0239118	0.122405	0.258201	0.028492	0.591874	7	16.22097	0.07971276	0.281024	0.643927	1.06727	2.00778	0.192811	0.282528	0.151478	0.0885348	0.145234	0.139413	0.59816	0.9894912
