Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-320.5803	-284.9037	-35.67663	4.924388	4.795425	0.0798566	0.281935	0.561835	0.0218428	0.530807	0.274503	0.00242346	0.341638	0.230369	0.000478886	0.00755205	0.271699	0.887729	0.141574	0.742327	0.422847	0.269646	0.530153	0.0742074	0.0243622	0.0319151	0.280869	0.3253949	0.1602136	0.0234126	0.0946893	0.00327156	0.148442	0.0120161	0.0372018	0.147656	0.00761795	0.0659426	0.0285251	0.230368	0.00726023	0.0692743	0.0466681	0.0776544	0.4136958	3	14.05842	0.1208151	0.493353	0.798888	1.08364	1.62412	0.21647	0.296758	0.139807	0.0709209	0.172525	0.10352	0.5739094	0.7208382
100	-322.9401	-289.3851	-33.55498	7.4325	0.7458654	0.152138	0.0067393	0.103552	0.229942	0.77182	0.151734	0.000716465	0.0587009	0.824532	0.0292042	0.0168048	0.205308	0.53567	0.437655	0.142327	0.123983	0.117719	0.422456	0.844221	0.178249	0.136069	0.206706	0.2602341	0.07231534	0.0235917	0.205577	0.029635	0.0256907	0.0597318	0.00146654	0.104133	0.00442325	0.0835643	0.00455276	0.290981	0.00521369	0.0970224	0.0175887	0.0468285	0.4283317	2	10.50299	0.1097592	0.0839998	0.38439	0.940747	2.59086	0.222635	0.373833	0.125251	0.106114	0.0842141	0.0879527	0.5006471	0.8555563
200	-321.5665	-289.1126	-32.45393	7.120948	1.470812	0.404253	0.429552	0.292427	0.0487052	0.574414	0.271437	0.0449016	0.490979	0.734255	0.0169784	0.350821	0.0886065	0.0806126	0.0120942	0.196582	0.870049	0.19195	0.300593	0.13084	0.248852	0.228328	0.252042	0.3677527	-0.04449015	0.0246161	0.0632237	0.0203319	0.0311494	0.0296977	0.0295348	0.137132	0.00143841	0.148763	0.00213238	0.270541	0.0579309	0.0797699	0.100607	0.00313161	0.5940302	1	9.605965	0.1166335	0.220778	0.583625	1.04866	2.14694	0.231191	0.369435	0.071367	0.0422502	0.218214	0.0675435	0.54954	1.080959
300	-311.4859	-289.3152	-22.1707	6.572015	3.204577	0.0241088	0.102984	0.0131178	0.157875	0.253963	0.169105	0.0007185	0.0424622	0.0227209	0.00537914	0.281893	0.103947	0.0781221	0.184968	0.0671382	0.225911	0.425207	0.747047	0.298942	0.0300658	0.253494	0.28164	0.1814325	0.0054834	0.0232437	0.146929	0.00476843	0.0558989	0.0282894	0.0105179	0.210451	0.0124716	0.161909	0.0745702	0.158398	0.0285117	0.0474709	0.00200974	0.0345607	0.2948074	1	8.383233	0.1138269	0.404494	0.742261	1.08336	1.76989	0.335156	0.291977	0.119779	0.0649808	0.152732	0.0353757	0.3002908	0.9817397
400	-313.0011	-284.8141	-28.187	6.793422	1.154464	0.327623	0.345041	0.212054	0.471228	0.550161	0.396597	0.00809322	0.550653	0.386227	0.122577	0.28706	0.147264	0.256868	0.231609	0.0991387	0.296927	0.0215752	0.231523	0.0531355	0.194071	0.0192122	0.0548484	0.2101669	-0.09598873	0.0140504	0.063709	0.0153954	0.0536118	0.0182562	0.000688382	0.0512766	0.0309213	0.151853	0.0139407	0.410746	0.00757314	0.022812	0.129349	0.0158164	0.3073101	1	8.547786	0.12491	0.166704	0.518719	1.02153	2.29305	0.202246	0.311954	0.121683	0.101784	0.144102	0.11823	0.2113214	1.454231
500	-309.0499	-291.7204	-17.32945	6.522229	0.8114712	0.0997016	0.00648543	0.1102	0.281742	0.448161	0.31591	0.0140848	0.0153264	0.273123	0.0184429	0.268608	0.222135	0.250054	0.264946	0.198198	0.0839104	0.0383992	0.132567	0.0429977	0.420142	0.112728	0.101711	0.201315	0.02616978	0.0434229	0.179829	0.0354114	0.0169784	0.00173961	0.00875008	0.0704439	0.00710088	0.186756	0.0324336	0.159033	0.0209533	0.0180471	0.194836	0.0242654	0.334221	4	8.831157	0.2044651	0.0979973	0.411712	0.960083	2.53021	0.156957	0.326014	0.135555	0.082685	0.195811	0.102977	0.3603908	0.927385
600	-316.153	-288.354	-27.79899	20.9215	1.573749	0.189971	0.0263283	0.0856158	0.0680399	0.105453	0.288603	0.0218672	0.0227803	0.0872113	0.346335	0.118482	0.00433799	0.259842	0.145211	0.0318367	0.284695	0.134517	0.119115	0.0605513	0.12656	0.076833	0.1427	0.1345736	0.05610138	0.0225888	0.0453696	0.000706979	0.033006	0.002049	0.0157646	0.359318	0.033638	0.0767526	0.0593001	0.157792	0.0322611	0.0872832	0.0639753	0.0101955	0.2592874	0	20.94151	0.0479427	0.236494	0.600389	1.05447	2.10864	0.250794	0.247375	0.105479	0.0526278	0.212535	0.131189	0.3153888	0.8221199
700	-305.1424	-280.2761	-24.86631	5.252206	1.046004	0.131053	0.16496	0.0199227	0.134108	0.107042	0.224891	0.0100417	0.0365112	0.206072	0.451858	1.05484	0.00405583	0.118868	0.000668168	0.497616	0.302085	0.0948463	0.0873695	0.285752	0.692922	0.472342	0.0591274	0.2396764	0.2806338	0.0399011	0.125147	0.0334467	0.0781922	0.0106983	0.00511182	0.242692	0.00126557	0.125777	0.0409407	0.228768	0.0353846	0.0190021	0.00231466	0.0113583	0.19423	1	6.00033	0.1561868	0.146041	0.490156	1.00722	2.35658	0.180529	0.337176	0.0620243	0.0815302	0.1949	0.14384	0.4748638	0.4090225
800	-321.6551	-286.5249	-35.13024	7.103177	1.308124	0.162067	0.247271	0.0275429	0.0855832	0.39064	1.15869	0.340658	0.190051	0.720736	0.927619	0.256613	0.0119913	0.137868	0.186186	0.0584321	0.408003	0.0821403	0.111229	0.0813808	0.25212	0.738398	0.76411	0.2820596	0.00840982	0.010437	0.0645764	0.0108668	0.103403	0.0142258	0.000349678	0.22307	0.014547	0.110523	0.0576127	0.121736	0.0374792	0.0456946	0.132393	0.0530859	0.305981	2	7.51909	0.1036714	0.194103	0.553156	1.03684	2.2159	0.233419	0.300275	0.0921448	0.141602	0.144261	0.0882986	0.3143908	0.9732504
900	-311.6638	-290.5074	-21.15644	6.696843	1.354474	0.17393	0.16949	0.17165	0.120516	0.234462	0.539321	0.205568	0.0710595	0.136622	0.2575	0.61546	0.0384788	0.120094	0.322928	0.0696532	0.0384316	0.0394657	0.0265516	0.157264	0.313822	0.22157	0.0352708	0.2089766	0.1111957	0.0306261	0.140046	0.000434442	0.0520568	0.00564527	0.0212196	0.106194	0.0264571	0.106381	0.0450713	0.177821	0.0255938	0.0259224	0.162401	0.074131	0.3501211	0	9.214711	0.128346	0.201941	0.562394	1.0406	2.19507	0.180138	0.330766	0.153964	0.0983741	0.124436	0.112321	0.4613167	0.7589603
