Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-449.0265	-341.8654	-107.161	15.02515	2.741251	0.07452147	0.01798156	0.106722	0.050628	0.0138719	0.0479887	0.102645	0.0279561	0.129109	0.00511987	0.112552	0.00620599	0.0920751	0.154604	0.117338	0.0287006	0.00448454	0.2637481	4	15.31699	0.08087761	0.368198	0.716115	1.0809	1.83479	0.238876	0.254563	0.12899	0.0665066	0.214118	0.0969458	0.2817296	0.9361744
100	-449.7768	-337.2369	-112.5399	15.57004	4.75313	0.08135398	-0.05177825	0.119894	0.0983854	0.00266044	0.0101337	0.0222589	0.0660711	0.0936474	0.0134135	0.0583165	0.00749212	0.314701	0.000177349	0.0526129	0.136294	0.00394138	0.4320922	8	15.70263	0.07221082	0.49149	0.797794	1.0837	1.62701	0.267779	0.208908	0.11146	0.129695	0.125523	0.156634	0.380314	1.136146
200	-449.9031	-333.7799	-116.1232	16.26519	3.594064	0.07486767	0.03263134	0.0490791	0.0454588	0.0291084	0.0286131	0.0524109	0.024971	0.100546	0.00570181	0.0358285	0.00785307	0.2213	0.000288666	0.186044	0.19066	0.0221373	0.4412342	8	20.42964	0.04880171	0.43057	0.759888	1.08421	1.72533	0.253046	0.346995	0.0456897	0.0660116	0.133643	0.154615	0.4738655	0.931138
300	-447.5181	-340.6739	-106.8442	15.76148	3.458795	0.09163406	0.02166226	0.0837699	0.0278856	0.0075014	0.0798821	0.103444	0.016325	0.0602498	0.0141278	0.012917	0.0188825	0.132596	0.113726	0.173973	0.100594	0.0541253	0.424261	8	17.65369	0.1052186	0.421911	0.754135	1.084	1.73995	0.174936	0.375094	0.122999	0.0857594	0.105189	0.136022	0.4459233	0.9514215
400	-435.9189	-340.4852	-95.43376	8.889984	4.482026	0.08776533	0.05530216	0.0382276	0.0373791	0.00481244	0.0271535	0.0355657	0.0153771	0.133595	0.0018317	0.112295	0.0675413	0.307406	0.0169454	0.10822	0.0846659	0.00898406	0.4898146	6	8.945848	0.09606726	0.47903	0.790386	1.08407	1.64652	0.292608	0.270275	0.104327	0.0694029	0.143068	0.120318	0.5451167	0.8985499
500	-442.1487	-333.4244	-108.7243	15.37777	4.554172	0.09598882	-0.02607713	0.0306101	0.0243801	0.00311961	0.00593114	0.231368	0.00229844	0.0294902	0.00849156	0.114842	0.17548	0.224669	0.0146538	0.0655811	0.0299946	0.03909	0.5089828	8	15.917	0.09229186	0.482436	0.792428	1.08398	1.64116	0.265759	0.301323	0.0848773	0.0706417	0.166222	0.111177	0.4829057	1.054
600	-443.6916	-336.6124	-107.0793	13.3012	3.246242	0.1044899	0.007533322	0.100099	0.0931827	0.000774156	0.00672927	0.00736908	0.0228623	0.0515697	0.0104909	0.144343	0.00432952	0.279894	0.0709977	0.0632827	0.0745342	0.0695414	0.2983072	6	19.17123	0.08590218	0.407458	0.744311	1.08349	1.76474	0.149017	0.287744	0.0818132	0.16756	0.181191	0.132674	0.3058405	0.9753685
700	-443.7972	-346.2854	-97.51177	8.635871	3.885829	0.07438011	0.1836217	0.0590838	0.0542165	0.0119071	0.0133752	0.00484137	0.0124462	0.165663	0.00957634	0.147299	0.0642747	0.144395	0.0259747	0.0464059	0.216247	0.0242951	0.3149952	8	10.30925	0.1097996	0.447978	0.771166	1.0844	1.69645	0.231406	0.330131	0.0807754	0.0713238	0.21973	0.0666335	0.4986168	0.6317379
800	-442.6106	-345.3539	-97.25676	10.45776	4.979373	0.09998675	0.1508823	0.0876073	0.0182108	0.00613599	0.0376978	0.0485178	0.0520343	0.0939323	0.00264244	0.167521	0.14157	0.211417	0.0621619	0.0027831	0.0471919	0.0205762	0.3997269	4	11.0226	0.1173942	0.501219	0.803464	1.08334	1.61198	0.235189	0.252304	0.0856577	0.0838142	0.222205	0.12083	0.5506092	0.725972
900	-457.0551	-352.3622	-104.6928	10.98814	2.518043	0.1034561	0.00677779	0.0656132	0.0470272	0.0102532	0.0346532	0.0200548	0.0114748	0.131879	0.0184753	0.0919604	0.042346	0.232297	0.0295997	0.125879	0.0127487	0.125738	0.5344327	7	11.99104	0.1069725	0.348161	0.700789	1.07883	1.87222	0.414261	0.210067	0.111014	0.0478902	0.136668	0.0801004	0.5412105	0.9874766
