Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-360.6875	-269.1355	-91.55198	2.630078	2.291372	0.03134191	-0.009152426	0.0382832	0.071831	0.126743	0.00220391	0.188976	0.0980121	0.108138	0.0269322	0.0366899	0.106055	0.00348221	0.0572505	0.000340275	0.129958	0.00510534	0.4395196	10	19.24567	0.1727303	0.32574	0.682806	1.07582	1.91563	0.108697	0.200854	0.189825	0.0644456	0.329415	0.106764	0.4303672	1.021267
100	-357.2858	-262.1863	-95.09946	2.277836	3.839185	0.02313687	-0.02946174	0.103506	0.0497296	0.169528	0.00170142	0.0782051	0.153038	0.0353508	0.0176121	0.0394146	0.154101	0.0187202	0.0508656	0.000926229	0.0935662	0.0337363	0.6054217	10	19.38271	0.09799376	0.445304	0.769458	1.08439	1.70085	0.153836	0.12535	0.105351	0.123575	0.44429	0.0475978	0.57596	1.051152
200	-364.1858	-275.7854	-88.40034	2.494597	3.80466	0.04514321	0.02422832	0.0453938	0.0157196	0.0621322	3.61618e-05	0.0141347	0.103657	0.0068702	0.0660691	0.0254848	0.124853	0.0160453	0.0882295	0.0588625	0.0437183	0.328794	0.4399935	10	18.6237	0.2543087	0.443298	0.768171	1.08438	1.70415	0.231084	0.248717	0.12134	0.129873	0.19235	0.0766349	0.4642218	0.9478087
300	-356.2894	-264.1522	-92.13715	2.048337	5.125211	0.03758822	-0.03009439	0.0206681	0.0356932	0.139303	0.0169787	0.0306189	0.0530329	0.0422063	0.00711429	0.119105	0.126804	0.0197674	0.255528	0.0210599	0.0503195	0.0617996	0.6167678	10	16.52021	0.2066452	0.507196	0.8069	1.08308	1.60283	0.196142	0.244109	0.0912663	0.0708202	0.345476	0.052187	0.5866734	1.051297
400	-355.0898	-267.0287	-88.06108	2.821072	3.953022	0.04214205	-0.03754138	0.104101	0.0267914	0.0593168	0.0124795	0.0109732	0.180792	0.139124	0.0151151	0.0425797	0.179818	0.0195679	0.104741	0.00439084	0.0739565	0.0262524	0.6091543	12	15.76863	0.1290097	0.451763	0.773569	1.08441	1.69026	0.238021	0.170744	0.0942451	0.0859541	0.338362	0.0726749	0.571613	1.065676
500	-365.3978	-269.3823	-96.01544	3.015037	3.590508	0.03225536	-0.03893984	0.0428315	0.116858	0.192417	0.007252	0.0389107	0.124785	0.043753	0.025992	0.109984	0.0750608	0.0301469	0.17577	0.00285637	0.00429662	0.00908652	0.473313	7	16.38323	0.1304391	0.430347	0.759741	1.0842	1.72571	0.147828	0.2633	0.0899729	0.0919932	0.361288	0.0456187	0.4343731	1.089646
600	-368.0184	-262.2978	-105.7206	5.787219	6.230977	0.03268306	0.08351604	0.0946291	0.0180104	0.115946	0.0136761	0.00119641	0.118667	0.0519101	0.0386336	0.0370747	0.100512	0.00340537	0.293617	0.00130385	0.0501713	0.0612471	0.3403549	8	19.32041	0.13068	0.546357	0.828535	1.08074	1.54437	0.139104	0.149726	0.146059	0.0927463	0.400104	0.0722602	0.4238709	0.8029682
700	-366.6936	-268.5401	-98.15345	5.396683	3.353828	0.04836539	-0.02248156	0.033308	0.0408414	0.188833	0.00174789	0.0187805	0.0279004	0.0587081	0.023262	0.00723715	0.377655	0.0259545	0.0931709	0.038969	0.0511577	0.0124746	0.3272001	7	20.2352	0.112499	0.414909	0.74941	1.08378	1.7519	0.0934862	0.290675	0.145215	0.0865764	0.303939	0.0801083	0.3047185	1.073778
800	-373.0258	-252.403	-120.6228	5.849817	3.635608	0.02175284	0.04614033	0.0238446	0.00181104	0.091343	0.0165722	0.0788689	0.0219208	0.0369721	0.014153	0.0464976	0.0594998	0.00129394	0.174009	0.00725493	0.405042	0.0209175	0.3936624	10	37.90292	0.08298599	0.433151	0.761584	1.08426	1.72101	0.205081	0.231388	0.140335	0.105025	0.279327	0.0388437	0.4398027	0.8950886
900	-354.6747	-258.3925	-96.28218	2.070462	3.858322	0.03690227	-0.06332704	0.0650638	0.00568337	0.163895	0.0029143	0.0511212	0.153999	0.0626058	0.0139163	0.0785613	0.096186	0.00595904	0.108764	0.00242114	0.177081	0.0118293	0.5845406	9	19.98421	0.09014031	0.446406	0.770163	1.0844	1.69904	0.21881	0.179021	0.106398	0.0675617	0.360547	0.0676615	0.5212136	1.121499
