Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-687.9574	-542.195	-145.7624	17.13794	3.915802	0.02257536	-0.002004576	0.0105708	0.152719	0.17065	0.058744	0.00246605	0.0369745	0.122695	0.00597936	0.0226382	0.0312701	0.132167	0.0618867	0.100192	0.0673012	0.023746	0.1142679	5	131.5191	0.01810025	0.449676	0.772246	1.0844	1.69367	0.149772	0.272731	0.16078	0.138417	0.159982	0.118318	0.1122633	1.017856
100	-694.3045	-558.0692	-136.2353	12.54192	1.267873	0.06028159	0.0002210945	0.0206582	0.0921849	0.0390653	0.0342581	0.00845692	0.00368149	0.063402	0.00267179	0.0764607	0.118183	0.112343	0.0538378	0.119937	0.191189	0.0636706	0.1256896	3	97.74959	0.02431788	0.187138	0.54473	1.03329	2.23485	0.136581	0.296465	0.136341	0.12508	0.207211	0.0983226	0.1259107	0.998244
200	-679.8919	-537.6296	-142.2622	10.0583	1.597985	0.03481063	0.01855437	0.0170027	0.069615	0.122066	0.0580606	0.0474705	0.000362812	0.181393	0.0130167	0.0104579	0.0584428	0.0558359	0.098242	0.0427141	0.195177	0.0301418	0.130249	4	101.3824	0.009923132	0.24007	0.604093	1.05569	2.10014	0.165743	0.207553	0.181108	0.130864	0.206362	0.10837	0.1488034	0.8753095
300	-680.3792	-539.1052	-141.274	5.672615	2.067043	0.02859445	0.008273965	0.0140809	0.0701696	0.185295	0.0423214	0.0599934	0.00969578	0.0585351	0.000335051	0.0619983	0.0141276	0.0303797	0.181869	0.0657874	0.116083	0.0893295	0.1885317	4	101.2088	0.00962951	0.301148	0.661959	1.07158	1.96531	0.121237	0.279807	0.158967	0.135838	0.233235	0.0709157	0.1968057	0.9579587
400	-677.2175	-541.3842	-135.8333	6.064375	1.795545	0.03235907	0.01310977	0.00080242	0.0378949	0.080313	0.0207262	0.115696	0.00377011	0.0649413	6.47292e-05	0.0453516	0.0620493	0.044369	0.0541671	0.0576365	0.318581	0.0936371	0.08990675	3	89.52297	0.02135364	0.267584	0.631348	1.06392	2.03715	0.151121	0.315842	0.14482	0.124003	0.202367	0.061848	0.1030165	0.8727411
500	-692.1532	-555.9777	-136.1754	6.020974	2.372581	0.03979991	0.01022941	0.0128502	0.0423458	0.0387235	0.00607002	0.0925464	0.000750351	0.167344	0.0209767	0.028388	0.0665212	0.122544	0.134333	0.0290197	0.158425	0.0791629	0.2088915	3	77.4831	0.008464819	0.334033	0.689566	1.07703	1.89938	0.217815	0.21598	0.167227	0.119899	0.165753	0.113326	0.2191209	0.9533161
600	-690.7122	-555.9938	-134.7184	4.230697	4.160754	0.04229296	-0.005431931	0.0139402	0.0745121	0.0892553	0.0697419	0.0134935	0.0217884	0.149797	0.00164919	0.041747	0.15138	0.0757882	0.0996587	0.0255826	0.152061	0.0196044	0.1930114	3	96.37978	0.02307466	0.462981	0.780591	1.08434	1.67208	0.149709	0.297529	0.134132	0.116207	0.180247	0.122177	0.1875795	1.028958
700	-696.5095	-557.5647	-138.9448	4.299047	2.861683	0.04032705	0.01404688	0.0273508	0.00628117	0.241188	0.0269555	0.0126078	0.00336044	0.0854036	0.00991783	0.0254004	0.171193	0.0576146	0.0752792	0.022575	0.211687	0.0231849	0.1431095	3	85.59146	0.0343729	0.37827	0.72357	1.08174	1.81642	0.133087	0.252395	0.153749	0.137007	0.206688	0.117074	0.1571563	0.9106184
800	-692.4354	-538.0379	-154.3975	8.153838	1.954324	0.02611001	-0.001899382	0.0138431	0.0690722	0.107093	0.0759124	0.0546205	0.00532197	0.131204	0.0193111	0.0785803	0.064465	0.0572118	0.0503437	0.0729683	0.163872	0.0361805	0.1481994	1	100.7443	0.01715482	0.287761	0.650067	1.0688	1.99337	0.151722	0.235262	0.177819	0.134183	0.214674	0.0863407	0.1463	1.012983
900	-685.4763	-551.1159	-134.3604	10.54248	4.213515	0.03204014	0.009424945	0.0104983	0.0635921	0.113322	0.0118096	0.0338742	0.0244909	0.0894237	0.00727863	0.056083	0.1226	0.0526805	0.0357958	0.115364	0.206329	0.0568587	0.2057594	4	74.2024	0.01553739	0.46572	0.782283	1.08431	1.66768	0.171921	0.308526	0.124406	0.114462	0.19443	0.0862543	0.2151843	0.9562006
1000	-677.6107	-557.0118	-120.599	3.643678	1.0155	0.05530282	0.03635506	0.0426725	0.0329592	0.17515	0.0273425	0.0645839	0.00124448	0.115016	0.00338231	0.104134	0.0656067	0.0773077	0.0468653	0.0367004	0.148798	0.0582357	0.1073605	9	74.18076	0.03130801	0.140036	0.481362	1.00252	2.37608	0.136415	0.236754	0.229142	0.106937	0.195124	0.095627	0.1437156	0.7470347
1100	-693.6363	-547.4782	-146.1581	17.96928	3.66202	0.03830487	0.005782537	0.0269709	0.0399271	0.150359	0.000457788	0.0688284	0.00890426	0.102358	0.00187484	0.0601065	0.0655729	0.0512631	0.0724134	0.0771597	0.222548	0.0512564	0.1961812	1	82.74141	0.008963789	0.434773	0.762646	1.08428	1.7183	0.1454	0.27033	0.136685	0.123003	0.216221	0.108361	0.2019638	0.9713684
1200	-679.3084	-540.2118	-139.0967	8.710409	1.813608	0.03696354	-0.01424382	0.015879	0.0276938	0.071441	0.0332794	0.109024	0.00273173	0.0737264	0.0103016	0.043393	0.104067	0.0646565	0.141523	0.00338174	0.210331	0.0885713	0.08825494	6	113.0179	0.0268916	0.269962	0.633607	1.06454	2.03189	0.158039	0.290088	0.13843	0.122091	0.186676	0.104677	0.07401112	1.192455
1300	-680.9193	-541.8284	-139.0909	17.12503	2.32937	0.03057486	-2.58271e-05	0.0239644	0.0550207	0.224199	0.0288047	0.0326588	0.00475535	0.115459	0.0057613	0.0294214	0.0609453	0.0735746	0.0838351	0.0727314	0.131855	0.0570134	0.1211491	3	82.64883	0.0183864	0.329659	0.686016	1.0764	1.90792	0.139168	0.217247	0.257977	0.10016	0.170692	0.114757	0.1211233	1.000213
1400	-685.7966	-540.2666	-145.5301	3.488925	3.009026	0.0281815	0.01856484	0.0262684	0.0789548	0.139755	0.0886244	0.00182834	0.00906917	0.0825123	0.000284767	0.0527486	0.0260079	0.0928217	0.0530635	0.0492037	0.262436	0.0364208	0.09789309	3	100.6287	0.023695	0.389959	0.732026	1.08256	1.79545	0.174945	0.287215	0.160193	0.102905	0.179863	0.0948788	0.1164579	0.8405876
1500	-690.3786	-551.8468	-138.5318	78.293	2.540786	0.0302544	0.003019318	0.0711791	0.0693739	0.0619944	0.02138	0.0039749	0.000281191	0.101153	0.0228874	0.0414828	0.00492426	0.0809684	0.204751	0.0511399	0.241505	0.023005	0.1057104	3	92.89432	0.01903635	0.35029	0.70245	1.07908	1.86818	0.141943	0.195878	0.224636	0.146248	0.207696	0.0835995	0.1087297	0.972231
1600	-692.7896	-551.0582	-141.7315	79.22514	2.135934	0.03152558	0.0006199916	0.000249699	0.0846104	0.104995	0.0460279	0.0156121	0.00335475	0.111246	0.000164879	0.0483099	0.03066	0.130692	0.0915198	0.104853	0.21863	0.00907445	0.1047784	4	92.71715	0.01878227	0.308979	0.668732	1.07305	1.94924	0.184786	0.27191	0.148072	0.105058	0.20509	0.0850846	0.1053984	0.9941176
