Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-285.6388	-261.3072	-24.33162	0.5894195	4.290028	0.1263637	0.02838812	0.033669	0.0214933	0.0427671	0.0308739	0.105401	0.0321795	0.185744	0.0246173	0.0148689	0.0923287	0.0102788	0.0881538	0.0271018	0.116762	0.173761	0.1466306	2	20.38749	0.05214362	0.469618	0.784677	1.08425	1.66145	0.265088	0.180959	0.118214	0.0703516	0.229157	0.13623	0.1750187	0.8377995
1	0	-282.7941	-253.1608	-29.63333	2.72283	2.543949	0.1303101	-0.04795674	0.0515623	0.000997617	0.147826	0.014127	0.059221	0.0804693	0.0389616	0.185088	0.00556288	0.110105	0.029966	0.0301012	0.0928635	0.0787302	0.0744197	0.2299379	2	27.0634	0.04665375	0.350584	0.702679	1.07911	1.86763	0.301359	0.176464	0.157656	0.127462	0.167556	0.0695038	0.1819812	1.263526
2	0	-288.3975	-257.7178	-30.67968	1.913873	1.503244	0.233947	0.07671257	0.09639	0.00744987	0.088093	0.0408017	0.321665	0.0575995	0.0816498	0.0880725	0.0220108	0.0167946	0.00283382	0.0460489	0.00120965	0.0417987	0.0875817	0.1661165	2	36.29306	0.03417009	0.225823	0.589095	1.05061	2.13447	0.176801	0.263095	0.148472	0.0984357	0.21756	0.0956369	0.2428291	0.6840883
3	0	-287.0185	-261.6197	-25.3988	1.85649	0.8642909	0.2097368	0.02610977	0.138549	0.0105375	0.0443806	0.0669546	0.0863731	0.0188327	0.0922003	0.0160428	0.209945	0.0296973	0.0328498	0.14877	0.0679588	0.015921	0.0209873	0.2610282	2	30.5698	0.04274909	0.109147	0.431785	0.973292	2.48577	0.186767	0.22528	0.178521	0.147952	0.213961	0.0475191	0.287138	0.9090689
4	0	-295.8625	-251.6444	-44.21813	5.397328	2.755937	0.05068979	0.08332234	0.0550636	0.0355061	0.0966931	0.0289228	0.120279	0.0272359	0.0804653	0.0022816	0.0080399	0.172984	0.0572934	0.132814	0.0744289	0.0777162	0.0302765	0.1135987	0	41.79389	0.01996528	0.369453	0.717052	1.08101	1.83248	0.155422	0.247142	0.167388	0.105828	0.268506	0.0557136	0.1969211	0.5768745
5	0	-282.0134	-250.3691	-31.64431	3.397837	4.55823	0.1073841	-0.05564874	0.044213	0.00056655	0.0554306	0.0169735	0.151587	0.0244119	0.0355044	0.101742	0.0270683	0.0993073	0.0271099	0.142246	0.150024	0.0241942	0.0996208	0.175451	2	26.73113	0.05864422	0.482626	0.792541	1.08397	1.64086	0.221693	0.227873	0.189885	0.093708	0.230516	0.0363252	0.1198023	1.464505
6	0	-281.0448	-248.4824	-32.56241	1.802571	7.956403	0.1609542	0.006100639	0.0926398	0.0179988	0.0940511	0.0423412	0.173863	0.0160138	0.0529866	0.0321088	0.0397024	0.0690019	0.0151792	0.140277	0.0317321	0.0445376	0.137566	0.2571934	3	25.08799	0.05778801	0.592076	0.852027	1.07674	1.47915	0.131308	0.238353	0.19281	0.107916	0.267563	0.0620491	0.2632941	0.9768296
7	0	-284.9245	-253.8257	-31.0988	2.464681	2.360425	0.1246999	0.04965943	0.0881418	0.00705416	0.0493436	0.00240432	0.167186	0.0431487	0.0566593	0.0827151	0.0415749	0.0695617	0.0113014	0.0633601	0.257304	0.0443657	0.015879	0.1549303	2	33.61821	0.03488234	0.332811	0.688578	1.07685	1.90176	0.232424	0.148092	0.17444	0.16955	0.220742	0.0547519	0.2045898	0.7572732
8	0	-292.604	-261.9606	-30.64333	2.791463	3.428164	0.1529378	0.072275	0.0287564	0.0185656	0.238585	0.0610881	0.0381825	0.0386293	0.0830804	0.0331811	0.0599529	0.0151183	0.0137554	0.0806408	0.132085	0.150287	0.00809201	0.1749579	2	26.46002	0.1240194	0.419894	0.752781	1.08394	1.74338	0.17412	0.326379	0.162062	0.092426	0.199662	0.0453499	0.2472329	0.7076643
9	0	-287.019	-252.675	-34.34397	1.94019	2.501107	0.1374541	-0.05326807	0.0654339	0.00844903	0.204223	0.0412366	0.0196285	0.027551	0.0508091	0.00380041	0.091979	0.0634152	0.0198202	0.0929007	0.0673361	0.0920667	0.15135	0.3021754	2	39.03933	0.01895327	0.346562	0.699537	1.07864	1.87526	0.176971	0.265279	0.122498	0.139022	0.252157	0.0440725	0.2489074	1.214008
