Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-555.0248	-516.6399	-38.38488	21.52685	4.06527	0.0268504	0.0333821	0.00408459	0.085428	0.027708	0.0113915	0.122384	0.00877276	0.0894878	0.0459388	0.130901	0.030497	0.0244598	0.0851098	0.000171923	0.0183425	0.0548624	0.0205897	0.0284141	0.0142962	0.0673284	0.142199	0.00818179	0.0271095	0.00543107	0.0172344	0.100298	0.000640563	0.00578893	0.0088756	0.00608632	0.0353912	0.00968791	0.0393858	0.00920296	0.0120499	0.0772835	0.00302423	0.0413721	0.0541428	0.03777547	0.02366552	0.0371778	0.0182918	0.239768	0.0191909	0.0139809	0.00677763	0.0648168	0.0261743	0.0261146	0.031167	0.0172405	0.0798657	0.122585	0.181793	0.115057	0.1069486	8	98.56152	0.0217578	0.457912	0.777436	1.08439	1.68027	0.191967	0.253346	0.175913	0.174808	0.135617	0.0683493	0.1306141	0.8188134
100	-546.406	-510.7842	-35.62177	16.29671	4.886283	0.00113148	0.0259106	0.00625253	0.00810905	0.00263954	0.0181397	0.0556868	0.0628196	0.0690799	0.0140612	0.0437125	0.0133252	0.00199719	0.005494	0.0443608	0.0857507	0.0207412	0.0185927	0.0506287	0.0713576	0.0441785	0.0330402	0.013273	0.0629813	0.00510763	0.000824713	0.0236483	0.0134674	0.0151284	0.00266061	0.00197197	0.0511412	0.013953	0.00344124	0.0156057	0.0729857	0.0524112	0.0321625	0.0278988	0.0927097	0.02957444	-0.01038215	0.0256015	0.0101783	0.199467	0.0680978	0.00143545	0.00198413	0.0470216	0.0400348	0.209337	0.017471	0.0157997	0.0738949	0.0163745	0.11759	0.155711	0.1237844	5	86.63532	0.01776498	0.497285	0.801184	1.08349	1.61804	0.198932	0.219143	0.237262	0.137193	0.136352	0.0711177	0.1134022	1.091552
200	-547.6709	-511.9369	-35.73399	19.87337	3.621018	0.000948165	0.00611793	0.00831698	0.0433056	0.00988376	0.0108696	0.0674606	0.100707	0.0270531	0.0662458	0.0117507	0.02749	0.023003	0.0727554	0.000472577	0.0164156	0.0281445	0.00506586	0.0038602	0.0129422	0.0286499	0.00298961	0.0375214	0.00128888	0.0263713	0.0249526	0.0133618	0.0735732	0.00601389	0.0169689	0.0773496	0.0512695	0.0263811	0.0207264	0.149799	0.00527208	0.0212537	0.000327155	0.00701207	0.0200177	0.03856735	-0.003312556	0.0136431	0.0168484	0.169961	0.0661674	0.0276479	0.00241742	0.018884	0.0232508	0.117506	0.00763802	0.0317568	0.0808201	0.0391843	0.239535	0.14474	0.152848	2	74.13864	0.02588738	0.432248	0.760992	1.08424	1.72252	0.154258	0.246254	0.252462	0.14837	0.114747	0.0839082	0.1495354	1.022152
300	-542.0608	-515.7933	-26.26752	9.713972	2.518717	0.0146443	0.0229351	0.115905	0.00591751	0.104055	0.00259643	0.0343352	0.00785128	0.0103182	0.0168466	0.0600928	0.0307139	0.00430934	0.0645838	0.0175439	0.0250084	0.0113718	0.00410404	0.0478685	0.0543239	0.044785	0.06831	0.00272766	0.00800352	0.0496042	0.00958445	0.0355699	0.0621186	0.00201668	0.0677016	0.03089	0.00345	0.00860616	0.00321633	0.0120677	0.00685407	0.0483012	0.00614313	0.0419957	0.00295346	0.04298189	0.01974563	0.0252477	0.00375422	0.13355	0.0670174	0.0432872	0.0110892	0.0726162	0.0200775	0.0150868	0.0106207	0.0177911	0.210342	0.0209913	0.277278	0.0712502	0.1400158	7	91.13155	0.0198018	0.348224	0.700839	1.07884	1.8721	0.189878	0.262398	0.169742	0.116095	0.204209	0.0576787	0.1597614	0.8764055
400	-558.1804	-520.7339	-37.44646	12.71292	2.137457	0.104686	0.00352909	0.0308211	0.0577382	0.0412656	0.0138685	0.0197257	0.00445903	0.0296139	0.00905933	0.014877	0.00314587	0.0242012	0.00617378	0.0222877	0.00407846	0.0467745	0.0391425	7.56269e-05	0.0259823	0.0284951	0.0255505	0.0466505	0.0218658	0.0358132	0.0350384	0.00896599	0.0163872	0.0276802	0.00755198	0.0816668	0.0335368	0.00788812	0.0139187	0.0231977	0.0226192	0.0738116	0.000863928	0.0728431	0.00835232	0.02881749	-0.00099908	0.0277432	0.00569224	0.161823	0.0239034	0.0909625	0.0081366	0.0309767	0.051978	0.0331126	0.0867355	0.00921929	0.041654	0.01958	0.185653	0.22283	0.1140955	5	88.04773	0.03056904	0.309149	0.668877	1.07308	1.9489	0.143011	0.194934	0.21169	0.205732	0.144312	0.100319	0.1130964	1.008834
500	-582.8706	-524.7704	-58.10019	12.75514	2.415218	0.00520185	0.00762541	0.0854982	0.051981	0.0279925	0.0967543	0.102164	0.00952154	0.0129234	0.0859454	0.0807092	0.00736157	0.00615833	0.0466686	0.058137	0.0926102	0.0263011	0.0107936	0.0918575	0.0907195	0.213065	0.0123541	0.0444671	0.0022042	0.039774	0.0738756	0.0453536	0.066571	0.227317	0.159899	0.0219342	0.0125528	0.0067774	0.103326	0.0370246	0.0222059	0.0244394	0.0318428	0.00635939	0.00482576	0.05826284	0.01870569	0.0388095	0.00931472	0.190106	0.0384386	0.00877856	0.00898967	0.0126637	0.0132028	0.0479275	0.0386886	0.0228574	0.138236	0.0200114	0.26902	0.142955	0.1266256	2	68.18269	0.03804438	0.338268	0.692968	1.0776	1.89117	0.150385	0.281783	0.139787	0.156006	0.182779	0.0892602	0.1453313	0.8712893
600	-562.8964	-526.0279	-36.86844	37.77023	1.267877	0.0230416	0.0304499	0.000914986	0.0772682	0.0295504	0.0020118	0.0931554	0.0272052	0.0413067	0.0101061	0.0059459	0.01347	0.000934217	0.0367426	0.00488665	0.0219139	0.0226921	0.0176196	0.0394123	0.000848435	0.0694331	0.0332037	0.0313003	0.0256168	0.0918757	0.00202391	0.00712228	0.00757535	0.00514889	0.109302	0.00434677	0.10205	0.00949977	0.0360488	0.0157927	0.00558392	0.0207848	0.0386647	0.0220885	0.0386448	0.02837559	0.03673205	0.0280144	0.0471281	0.208038	0.012854	0.0299738	0.00842927	0.0591263	0.0364473	0.063171	0.00174269	0.0188934	0.131898	0.0719988	0.125802	0.156483	0.07034235	7	83.56786	0.01949367	0.187139	0.544731	1.03329	2.23484	0.175936	0.249918	0.14528	0.158174	0.185463	0.0852286	0.1070744	0.6569483
700	-534.6705	-503.8736	-30.79696	41.09534	3.305318	0.0245082	0.0376482	0.0292724	0.0032573	0.00541235	0.00553455	0.0157087	0.00512041	0.00415287	0.0306153	0.0141553	0.0208549	0.00102393	0.0812916	0.00628003	0.00183981	0.0138475	0.00591542	0.0470112	0.151602	0.010104	0.00359081	0.0397059	0.0461707	0.0428854	0.0694288	0.00370732	0.0122211	0.11053	0.0519267	0.00175946	0.020775	0.00519179	0.0327274	0.0360488	0.00934445	0.0325713	0.071363	0.046507	0.00750416	0.03113025	-0.00310721	0.00654697	0.00192796	0.0881534	0.024793	0.0257844	0.000240795	0.0619962	0.0253815	0.0646832	0.0196809	0.00880681	0.294627	0.0322987	0.158406	0.186672	0.1379565	5	74.92203	0.018967	0.411584	0.747145	1.08366	1.75761	0.261367	0.251677	0.158274	0.124096	0.119922	0.0846649	0.1348493	1.023042
800	-551.4531	-519.8813	-31.57178	20.15079	6.563059	0.0142181	0.0164367	0.0309724	0.000154141	0.00309871	0.00268732	0.0427215	0.00752446	0.0272122	0.00467166	0.00814117	0.0137141	0.000177792	0.0855225	0.00783709	0.00348554	0.0157882	0.034045	0.00814465	0.00921437	0.000460141	0.0221865	0.0337721	0.102871	0.00229191	0.0911322	0.0109832	0.0228348	0.00538567	0.0541822	0.00148081	0.00227409	0.0628727	0.018906	0.0660496	0.0144102	0.000196981	0.00865972	0.00439169	0.0221	0.01845257	0.01329302	0.0382191	0.0175261	0.282953	0.0962371	0.022119	0.0122486	0.0473191	0.0340916	0.092602	0.0211443	0.0198864	0.0491736	0.101083	0.0953506	0.0700465	0.154342	4	73.70406	0.01825047	0.556378	0.83384	1.07997	1.52981	0.121572	0.205624	0.252434	0.142862	0.186476	0.0910315	0.167635	0.9207026
900	-536.1091	-510.2043	-25.90487	38.29211	2.187335	0.0313212	0.024312	0.0215635	0.000574533	0.00255727	0.00130134	0.00918056	0.0674777	0.00183562	0.0712401	0.0362438	0.000956355	0.00596075	0.0165184	0.0332638	0.000551426	0.0181417	0.0102373	0.0350702	0.0232596	0.0163986	0.0146999	0.000158583	0.0027814	0.0397435	0.0257218	0.0242404	0.00860825	0.000738697	0.0540286	0.0022185	0.00169055	0.0442627	0.0547348	0.0515285	0.00316358	0.0797844	0.0174512	0.00838332	0.00850577	0.0240187	0.01135069	0.0144353	0.0168831	0.171238	0.0182585	0.0230484	0.00303523	0.0625896	0.0190021	0.0311418	0.0494103	0.0180251	0.112849	0.0048378	0.23263	0.222615	0.1307348	4	88.14228	0.01258894	0.314656	0.673562	1.07404	1.93774	0.183466	0.295726	0.174326	0.108152	0.15624	0.0820905	0.1420855	0.9201137
