Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-620.5902	-512.3276	-108.2627	24.29674	1.044051	0.1860101	-0.01556128	0.113908	0.0972012	0.0336008	0.212953	0.00167652	0.0110046	0.0569294	0.10784	0.0116938	0.0468391	0.0886862	0.00409611	0.0160683	0.159431	0.038072	0.3186919	3	40.05225	0.0470356	0.145659	0.489603	1.00693	2.35781	0.121305	0.0883614	0.0583423	0.372509	0.116858	0.242624	0.3031306	1.051335
1	0	-606.2231	-509.3797	-96.84349	27.22544	2.578807	0.1248015	0.02090886	0.039173	0.0886159	0.060877	0.273741	0.00124579	0.00936308	0.0935657	0.015718	0.0108027	0.109988	0.123961	0.0168116	0.0294281	0.124174	0.00253485	0.2939535	8	35.4844	0.03843139	0.353803	0.705174	1.07947	1.86155	0.118986	0.103075	0.0969454	0.361053	0.12737	0.192571	0.3148624	0.9335937
2	0	-625.4809	-513.1989	-112.2819	27.05578	4.230594	0.1020892	-0.03727422	0.1611	0.14407	0.0409034	0.0738289	0.0132963	0.00578099	0.116414	0.0305295	0.0276001	0.00585264	0.133619	0.0834278	0.0392028	0.116577	0.00779696	0.3400452	3	32.24146	0.06173009	0.466598	0.782824	1.0843	1.66628	0.1142	0.111319	0.0706271	0.437226	0.0919077	0.174721	0.3027709	1.12311
3	0	-621.0525	-510.3952	-110.6572	30.87166	2.158805	0.06481745	-0.03299448	0.00691346	0.309962	0.0141731	0.147881	0.00622986	0.0717721	0.0135938	0.0166492	0.0135286	0.0468903	0.178021	0.0242988	0.042435	0.0921722	0.0154794	0.3120189	3	35.08969	0.03764946	0.311522	0.670904	1.0735	1.94408	0.118567	0.190631	0.0684093	0.349966	0.108209	0.164216	0.2790245	1.118249
4	0	-613.2075	-517.5257	-95.68183	28.44062	1.453835	0.1782081	0.04310768	0.0538774	0.0332518	0.00108282	0.157755	0.00760318	0.140172	0.195055	0.0402932	0.0183657	0.0327194	0.0832395	0.0129695	0.0328914	0.180362	0.010363	0.2310165	5	30.89657	0.09404229	0.218102	0.580687	1.04759	2.15362	0.16071	0.144751	0.094309	0.291517	0.105996	0.202718	0.2741242	0.842744
5	0	-622.8754	-518.6541	-104.2214	35.89014	1.470801	0.1178295	-0.01531699	0.00553275	0.24691	0.00116787	0.273475	0.00114337	0.0174443	0.0434479	0.126848	0.00710803	0.0938588	0.0636752	0.0065792	0.024554	0.0847995	0.00345599	0.2575369	6	36.10103	0.04927813	0.220777	0.583623	1.04866	2.14694	0.113278	0.11135	0.140673	0.353107	0.112608	0.168984	0.2422199	1.063236
6	0	-615.2179	-513.8334	-101.3845	21.94291	0.8577189	0.1445247	0.04309063	0.0443945	0.234275	0.0224518	0.113241	0.00987623	0.0683229	0.14711	0.0971005	0.00297118	0.0322613	0.0216514	0.0655585	0.069939	0.0700858	0.00076057	0.2863617	4	32.31889	0.04176729	0.107768	0.429374	0.971749	2.49111	0.164251	0.0961087	0.0679315	0.326974	0.111658	0.233077	0.3294524	0.8692053
7	0	-621.9609	-514.7574	-107.2034	27.16174	0.7913578	0.170918	-0.0004572411	0.00559055	0.208201	0.0141278	0.135654	0.000922683	0.097457	0.131765	0.0599785	0.0112693	0.0336837	0.0408252	0.0534105	0.0491479	0.147455	0.0105112	0.1818944	3	36.97231	0.05844245	0.0937185	0.403631	0.954531	2.54812	0.174907	0.115919	0.101885	0.31659	0.123548	0.167151	0.1814372	1.00252
8	0	-613.5983	-509.2802	-104.3181	25.64369	1.937669	0.1389351	0.00464832	0.0560878	0.0952482	0.0925856	0.109174	0.00365838	0.0158843	0.170784	0.00858356	0.0112092	0.048282	0.139104	0.0495811	0.0588034	0.137764	0.00324925	0.2643851	3	37.61271	0.04761218	0.285719	0.648217	1.06835	1.99772	0.141111	0.140515	0.105962	0.306621	0.105051	0.200741	0.2690334	0.9827221
9	0	-632.4972	-521.0032	-111.494	18.16987	1.549119	0.2186424	0.05002692	0.0307037	0.179753	0.0163804	0.0374594	0.0289649	0.0374944	0.190762	1.41263e-06	0.0150407	0.107509	0.145321	0.00924627	0.126136	0.0651117	0.0101166	0.36212	4	45.61251	0.04913578	0.232812	0.596533	1.05318	2.11747	0.15105	0.175525	0.103756	0.322842	0.0751529	0.171675	0.4121469	0.8786187
10	0	-621.123	-506.0437	-115.0793	27.76584	1.577191	0.1103932	-0.02837258	0.128524	0.200199	0.013608	0.0855718	0.00899608	0.00675548	0.152204	0.0551343	0.0055516	0.0347449	0.198377	0.0373908	0.0194351	0.0491973	0.00431043	0.2982634	2	46.2585	0.05928266	0.237004	0.60092	1.05465	2.10742	0.117175	0.120295	0.0593333	0.376153	0.0783423	0.248701	0.2698909	1.105126
11	0	-618.2263	-508.4288	-109.7975	35.53344	1.986758	0.09042198	-0.01690407	0.0212226	0.163401	0.0664703	0.129181	0.00445733	0.00815758	0.162089	0.0196855	0.00900731	0.0844566	0.136937	0.0154683	0.0612674	0.106702	0.0114969	0.3189508	3	40.06914	0.03081881	0.291689	0.653598	1.06965	1.98506	0.13897	0.092997	0.0803724	0.440508	0.0918005	0.155352	0.3020468	1.055965
12	0	-618.5377	-509.1801	-109.3576	20.1538	2.168292	0.101201	-0.006682526	0.0305151	0.283105	0.00398046	0.138371	0.00285958	0.00906259	0.131001	0.0599407	0.0316769	0.102578	0.0521393	0.0247643	0.0219727	0.102301	0.00573276	0.353875	2	34.04468	0.02842854	0.312569	0.671794	1.07368	1.94196	0.121784	0.138203	0.092728	0.343259	0.131794	0.172233	0.3471925	1.019247
13	0	-622.2453	-517.1746	-105.0707	16.83747	1.30566	0.1064444	0.01651301	0.103724	0.153277	0.0244729	0.101469	0.00109754	0.142859	0.148743	0.00836555	0.0324563	0.0294434	0.0394729	0.00929006	0.0660567	0.117137	0.0221363	0.3610322	4	39.25647	0.03668051	0.193681	0.552651	1.03663	2.21704	0.115368	0.126889	0.103784	0.38496	0.10523	0.16377	0.3775452	0.9562622
14	0	-632.1486	-509.1747	-122.9739	29.14525	2.286834	0.08486945	0.01063073	0.0432479	0.171553	0.0205346	0.152809	0.00893076	0.0689117	0.0349316	0.0661002	0.00697688	0.0800072	0.24971	0.0426656	0.00841695	0.036412	0.00879196	0.2519718	3	41.13134	0.04320827	0.325268	0.682417	1.07575	1.91656	0.138406	0.125457	0.0920784	0.340945	0.0870351	0.216079	0.2626026	0.9595178
15	0	-607.2559	-508.0634	-99.19256	26.26201	1.865293	0.09159499	-0.008204021	0.0791824	0.164149	0.0246976	0.16782	0.00112523	0.0452453	0.117131	0.0103544	0.0197502	0.0886632	0.0423444	0.0798924	0.0534264	0.102036	0.00418301	0.3695099	4	29.63593	0.048843	0.276646	0.63988	1.06622	2.01725	0.162587	0.118602	0.0780922	0.374999	0.104865	0.160854	0.3613059	1.022707
16	0	-620.792	-508.4647	-112.3273	27.28447	1.648784	0.09447069	0.02839546	0.0584118	0.194326	0.0153824	0.0565797	0.00656922	0.0333222	0.152678	0.0506993	0.00573925	0.114561	0.111347	0.00851939	0.108315	0.0700933	0.0134561	0.3942462	3	38.41453	0.02996673	0.247419	0.611583	1.05808	2.08291	0.172821	0.128424	0.0665955	0.301728	0.104081	0.22635	0.4226417	0.9328143
17	0	-629.5527	-508.2788	-121.2738	39.30402	3.268282	0.06031901	-0.03649956	0.0205139	0.330446	0.0140229	0.0145665	0.0364572	0.0616764	0.0140097	0.0026628	0.0423312	0.00995709	0.317619	0.021998	0.0262853	0.0744259	0.013028	0.2454213	5	47.86546	0.04962715	0.409008	0.745378	1.08355	1.76206	0.133804	0.158043	0.0621583	0.376785	0.100581	0.168629	0.2089217	1.174704
18	0	-621.6193	-509.6471	-111.9722	37.72214	1.401338	0.1172704	0.03864703	0.0137565	0.211227	0.00420444	0.0574524	0.000105732	0.00144359	0.0565797	0.012149	0.0333166	0.0504687	0.190196	0.120873	0.0354346	0.205141	0.0076517	0.2039848	6	44.74717	0.04702073	0.209671	0.571266	1.04406	2.175	0.143284	0.153902	0.107679	0.305604	0.122798	0.166733	0.2426318	0.8407174
19	0	-614.3521	-505.0403	-109.3118	36.25581	1.730024	0.1068154	0.01846526	0.106669	0.460904	0.00193202	0.107704	0.00842784	0.005344	0.0310895	0.0336419	0.00540698	0.0709405	0.0517808	0.0370915	0.0172777	0.0517799	0.0100097	0.2661196	5	37.79367	0.03556431	0.258771	0.622847	1.06149	2.05689	0.100441	0.11808	0.0725003	0.413613	0.0884936	0.206872	0.2845848	0.9351151
20	0	-626.762	-509.8274	-116.9346	25.73908	4.246568	0.08796212	-0.07129059	0.0167421	0.232763	0.0209209	0.119532	0.00110255	0.0682816	0.0237639	0.0128433	0.0163031	0.190273	0.131617	0.0420104	0.0333997	0.0831077	0.00733957	0.3214945	2	39.15445	0.0551331	0.467415	0.783326	1.08429	1.66497	0.0905182	0.176402	0.0813226	0.352768	0.072283	0.226706	0.2502039	1.28493
21	0	-622.1991	-514.0075	-108.1916	19.89563	1.944055	0.09269575	0.007480487	0.0361236	0.149558	0.010603	0.14677	0.00738081	0.0940544	0.171177	0.0463706	0.00260925	0.0166738	0.094002	0.0509819	0.0383649	0.125821	0.00950939	0.2192618	5	34.93729	0.03200673	0.286504	0.64893	1.06852	1.99604	0.14179	0.0944202	0.0824785	0.306032	0.145516	0.229763	0.2267423	0.9670089
22	0	-616.5081	-516.8967	-99.61132	28.59417	3.141246	0.1003493	-0.0385447	0.0712736	0.183031	0.0144587	0.105752	0.0129016	0.00486384	0.12374	0.00171155	0.00017962	0.0875186	0.139654	0.0580187	0.0230627	0.173239	0.000595908	0.2880809	6	31.72145	0.04998732	0.399902	0.73906	1.08313	1.77791	0.15091	0.112174	0.072389	0.34512	0.124803	0.194603	0.2495362	1.154465
23	0	-618.264	-515.4562	-102.8078	17.38158	1.358707	0.1633775	-0.04133543	0.0391258	0.160161	0.0038168	0.340886	0.00526508	0.0199557	0.0565887	0.0866952	0.0200301	0.0398839	0.0334958	0.0119648	0.0471085	0.127166	0.00785649	0.3074768	4	35.62335	0.06534917	0.202648	0.563214	1.04092	2.19322	0.175725	0.113893	0.124613	0.304163	0.124228	0.157379	0.2661414	1.155314
24	0	-613.8695	-511.4051	-102.4645	24.81355	0.8639354	0.1520989	0.01178439	0.0475295	0.277761	0.0277441	0.156912	0.00246689	0.0212338	0.0497413	0.0422963	0.00435781	0.0251647	0.171962	0.012191	0.0547044	0.10452	0.00141515	0.2014658	6	33.05214	0.05163519	0.109073	0.431656	0.97321	2.48606	0.121363	0.158901	0.116064	0.317844	0.105061	0.180767	0.2132502	0.9447391
25	0	-629.2777	-518.1112	-111.1666	17.19129	1.899298	0.09343343	-0.04476403	0.0106297	0.289817	0.0232043	0.155828	0.0182511	0.0328834	0.123976	0.0524584	0.0279752	0.0711543	0.0650513	0.0154663	0.00513715	0.0861978	0.0219705	0.202562	3	39.51304	0.07915783	0.28095	0.643859	1.06725	2.00794	0.151025	0.114082	0.0684081	0.384703	0.108358	0.173425	0.1577979	1.283679
26	0	-612.7682	-514.9962	-97.772	9.810563	1.480487	0.1407856	0.01560682	0.0106623	0.105185	0.0271114	0.194226	0.00955468	0.0201744	0.0819941	0.07553	0.0033762	0.0807143	0.13793	0.0452239	0.0713537	0.124786	0.0121778	0.263591	3	35.76243	0.08370995	0.222292	0.585276	1.04925	2.14318	0.179095	0.175783	0.112138	0.284927	0.0818334	0.166224	0.2791978	0.9441012
27	0	-618.3331	-506.7529	-111.5802	27.69019	3.889648	0.07278404	0.02643344	0.0398899	0.112418	0.0596277	0.175499	0.0268556	0.0419486	0.0961049	0.0232012	0.01625	0.113469	0.100888	0.0545771	0.040813	0.0943864	0.00407138	0.2776422	3	31.22708	0.06327514	0.448195	0.771304	1.0844	1.6961	0.135159	0.134823	0.109249	0.356014	0.126206	0.138549	0.3040756	0.9130695
28	0	-613.5413	-507.1271	-106.4142	23.07098	2.39933	0.1393058	0.06896816	0.0311416	0.396688	0.0286947	0.124773	0.00217395	0.0399363	0.0818658	0.0140233	0.0102551	0.0254532	0.0958835	0.0453478	0.0141141	0.0894986	0.000151055	0.2673503	3	38.71293	0.07825936	0.3367	0.691712	1.07739	1.8942	0.100517	0.107648	0.0921344	0.361634	0.107053	0.231014	0.3363185	0.794932
29	0	-620.7507	-510.4427	-110.308	21.35791	1.884208	0.1119537	0.0632333	0.102724	0.253669	0.0458417	0.082447	0.00867628	0.0235287	0.0754665	0.0757478	0.00856023	0.0582295	0.113482	0.0371734	0.0275767	0.0839725	0.0029045	0.1992656	2	32.76074	0.04642577	0.279049	0.642107	1.0668	2.01204	0.0691677	0.103281	0.082143	0.375437	0.122066	0.247905	0.2624989	0.7591103
30	0	-617.196	-510.6469	-106.5491	32.90575	2.08044	0.1036127	0.03945791	0.00847232	0.222186	0.036675	0.155647	0.0113537	0.118467	0.034158	0.0317826	0.0213172	0.0537358	0.081029	0.0845469	0.0428146	0.0907492	0.00706574	0.2312427	4	32.95866	0.04248633	0.302691	0.663304	1.07188	1.96213	0.120066	0.145666	0.0750083	0.379622	0.0891054	0.190532	0.2707006	0.8542378
31	0	-621.5949	-514.4371	-107.1578	35.49656	4.814716	0.1191014	0.02161023	0.0486581	0.163943	0.0230671	0.0701009	0.00149381	0.0763701	0.153463	0.0468966	0.0848218	0.0669768	0.0625814	0.0312979	0.0109341	0.156048	0.00334727	0.3167692	4	36.61372	0.04761721	0.494195	0.799381	1.08361	1.62281	0.154768	0.113074	0.0809495	0.32641	0.173492	0.151306	0.3383794	0.9361361
32	0	-632.8175	-516.9686	-115.8488	25.16854	1.010554	0.1245275	0.03489631	0.0100401	0.140984	0.0165795	0.307492	0.0103447	0.0617396	0.0293237	0.140689	0.00419913	0.0130364	0.0644752	0.0015281	0.103558	0.0882162	0.00779462	0.1395097	5	38.52371	0.03029941	0.139055	0.479901	1.00173	2.37932	0.110573	0.176132	0.121818	0.282924	0.113986	0.194567	0.174406	0.7999134
33	0	-636.3924	-520.7013	-115.6911	37.27312	0.5434713	0.1769739	0.04850441	0.0961393	0.234158	0.0721647	0.05308	0.0138944	0.0430132	0.111628	0.00514618	0.0565792	0.0399796	0.0993333	0.00487075	0.0102774	0.146085	0.0136504	0.2142836	3	43.4197	0.0488631	0.0417008	0.279351	0.849492	2.82946	0.126355	0.112246	0.0654296	0.395355	0.091072	0.209543	0.262788	0.8154238
