Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-736.4746	-479.5511	-256.9235	18.86583	6.450976	0.03757981	-0.05128831	0.0983076	0.027869	0.0906079	0.0119159	0.14564	0.00914997	0.113008	0.0198621	0.0479807	0.0101961	0.240346	0.000208217	0.076775	0.105496	0.00263768	0.9538506	23	21.17721	0.1460175	0.553072	0.8321	1.08023	1.5346	0.0536525	0.317158	0.0988976	0.211497	0.170524	0.14827	0.9025623	1.056825
100	-761.6435	-475.5456	-286.0979	23.66763	7.665575	0.03435463	0.03511878	0.133993	0.0664466	0.0782359	0.00465944	0.00661439	0.000403248	0.0491163	0.0135956	0.0986823	0.0116928	0.281629	0.00816191	0.0254848	0.208357	0.0129282	0.7410708	28	28.08355	0.1136711	0.585351	0.848683	1.07741	1.48856	0.0343308	0.217755	0.191597	0.291248	0.182637	0.0824329	0.7761896	0.9547549
200	-759.0263	-483.2943	-275.7319	18.86099	7.322579	0.03457413	0.02065579	0.0772987	0.043232	0.0644104	0.0322303	0.0172978	0.0203545	0.107742	0.0307516	0.100312	0.0262485	0.253223	6.2769e-05	0.0673054	0.156968	0.00256243	0.6119521	23	23.99793	0.1180765	0.576965	0.844461	1.0782	1.50037	0.0833997	0.280198	0.144549	0.192801	0.142206	0.156845	0.6326079	0.9673482
300	-750.777	-485.1072	-265.6697	19.50293	5.830823	0.02851455	0.04489263	0.188703	0.0164056	0.0965322	0.0645894	0.00330702	0.0089425	0.0813409	0.0159881	0.108005	0.00447469	0.189222	0.0228828	0.0659838	0.12867	0.00495221	0.829117	25	20.7349	0.1361387	0.533309	0.821489	1.08163	1.56357	0.0278152	0.213171	0.171834	0.333533	0.178126	0.0755205	0.8740096	0.948636
400	-739.8754	-477.4275	-262.4479	22.90355	2.826226	0.03509792	-0.05934612	0.137144	0.0378469	0.143387	0.0408945	0.00634752	0.00638487	0.115008	0.0152747	0.1125	0.014007	0.151184	0.00483815	0.0923172	0.1189	0.00396622	0.8185923	23	23.2194	0.1349583	0.375355	0.721429	1.08151	1.8217	0.0290648	0.325406	0.226136	0.168135	0.181403	0.0698554	0.7592462	1.078165
500	-743.166	-478.8859	-264.2801	20.53024	4.839701	0.03970814	-0.03489825	0.0823287	0.00441132	0.0847767	0.077568	0.0104628	0.0236447	0.0778455	0.0107314	0.117639	0.018448	0.16275	0.00128762	0.0474893	0.267589	0.0130282	0.8288061	26	21.87913	0.117491	0.495281	0.800015	1.08357	1.62113	0.0508223	0.19305	0.144808	0.239793	0.253121	0.118407	0.7939078	1.043958
600	-771.4025	-496.5362	-274.8663	21.85458	2.156009	0.03904854	-0.01539498	0.0683718	0.0867579	0.0562132	0.0621607	0.00964533	0.00324743	0.0910945	0.00361695	0.133826	0.00361265	0.138807	0.00143916	0.0550371	0.251956	0.0342141	0.6794944	31	27.10233	0.1597034	0.311212	0.67064	1.07344	1.9447	0.0733842	0.257783	0.151338	0.237116	0.187068	0.0933113	0.6640994	1.023182
700	-765.1163	-499.746	-265.3703	19.06516	2.737515	0.03488327	0.06128144	0.0381479	0.00840294	0.221982	0.00281967	0.0287559	0.0101866	0.100487	0.0119123	0.0629214	0.00330933	0.205637	0.00504266	0.0789203	0.190345	0.0311299	0.9335672	20	22.59147	0.1244666	0.367878	0.715875	1.08087	1.83537	0.0865414	0.222107	0.149351	0.19143	0.266498	0.0840732	0.9948486	0.9384012
800	-758.1214	-486.4915	-271.6299	19.81486	6.24668	0.0332559	-0.0737494	0.121353	0.0267982	0.17825	0.0413142	0.0392636	0.00312397	0.0470149	0.00846498	0.114226	0.0190143	0.164476	0.00285852	0.0560785	0.166728	0.011035	0.9317462	23	21.25612	0.1340252	0.546847	0.828797	1.0807	1.54366	0.0466064	0.249384	0.193695	0.217979	0.199972	0.0923626	0.8579968	1.085955
900	-746.2758	-488.767	-257.5088	20.14092	4.796682	0.02941507	0.05470565	0.123888	0.0368017	0.090312	0.0568001	0.10321	0.00437308	0.149721	0.00770639	0.217122	0.00177136	0.0555967	0.00411898	0.0444002	0.101919	0.0022593	0.7194555	25	21.81619	0.164684	0.493408	0.79892	1.08364	1.62403	0.0427578	0.215982	0.173458	0.160755	0.359326	0.0477209	0.7741612	0.9293356
1000	-756.2251	-488.2069	-268.0182	21.09827	4.795795	0.03153825	-0.09649084	0.15223	0.00811381	0.0872691	0.00551075	0.142459	0.00601092	0.0972254	0.0198084	0.0594897	0.0083404	0.12643	0.00414479	0.0152559	0.242622	0.0250901	0.8048665	27	22.60958	0.1291027	0.493369	0.798897	1.08364	1.62409	0.050141	0.113526	0.211818	0.199922	0.315613	0.108981	0.7083757	1.136214
1100	-744.467	-484.3333	-260.1337	20.80405	5.526279	0.04297063	0.02858572	0.0307511	0.00983425	0.0979805	0.0123496	0.106964	0.00509703	0.121937	0.0164251	0.0955144	0.00773115	0.225658	0.0103026	0.0381844	0.203761	0.0175103	0.7704377	27	21.22331	0.1614303	0.522569	0.815569	1.08229	1.57958	0.0524448	0.232513	0.130287	0.24816	0.248924	0.0876711	0.7990234	0.9642242
1200	-771.9691	-485.5354	-286.4337	25.10594	5.525015	0.02916054	0.08497065	0.0557001	0.0604199	0.0741942	0.00330237	0.0350828	0.0189644	0.129575	0.00962544	0.0870466	0.000329954	0.18819	0.0129559	0.0454592	0.275637	0.0035176	0.7152065	21	26.55317	0.1281411	0.522523	0.815543	1.08229	1.57965	0.0304924	0.182022	0.181478	0.248659	0.264454	0.0928947	0.8001771	0.8938102
