Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-798.4774	-693.7363	-104.741	65.75212	5.914083	0.00620902	0.0418442	0.0534603	0.0471921	0.0282823	0.0754809	0.127206	0.035168	0.12153	0.0249742	0.00511038	0.0414832	0.0457161	0.00267144	0.139467	0.0523893	0.0251806	0.00363602	0.0450127	0.0444246	0.0614292	0.101175	0.00808054	0.0250863	0.0532305	0.0810466	0.311306	0.103651	0.243466	0.101437	0.0207324	0.140692	0.118333	0.0283172	0.216616	0.078128	0.00198354	0.0699494	0.0755241	0.110296	0.000757517	0.031378	0.010637	0.0378616	0.171704	0.0183587	0.0114898	0.0671536	0.117892	0.0297768	0.115794	0.0484766	0.0134956	0.00978363	0.0192193	0.0600723	0.0195757	0.202204	0.00332214	0.0490455	0.0417871	0.107833	0.0219076	0.00327819	0.00397577	0.000874885	0.0791144	0.0563859	0.000661093	0.0892605	0.0273732	0.0449546	0.00265085	0.00442189	0.05237126	-0.0187878	0.0997381	0.0267598	0.132348	0.00709233	0.0189689	0.00838204	0.176363	0.0108673	0.0105942	0.00732683	0.0349188	0.00859382	0.0818982	0.369759	0.00639014	0.2652714	10	78.40559	0.03160533	0.536118	0.82302	1.08145	1.55941	0.0461486	0.191026	0.197561	0.157901	0.283021	0.124342	0.2464836	1.076223
100	-755.4278	-660.2898	-95.13807	68.1342	4.559905	0.0149248	0.0398786	0.000932007	0.15815	0.00894339	0.00920484	0.00511189	0.00351897	0.0780844	0.017175	0.0178477	0.00596479	0.0088368	0.0101383	0.0763991	0.00232487	0.000142937	0.00123496	0.130418	0.0095676	0.0319442	0.0119074	0.0152306	0.0525429	0.00930037	0.0774531	0.138701	0.0175671	0.00852734	0.0854965	0.0861417	0.000740392	0.0521267	0.0711888	0.0209519	0.0386575	0.0302282	0.0377458	0.197842	0.071546	0.0117147	0.189961	0.00421065	0.0547297	0.0201106	0.00396133	0.169632	0.0152765	0.115671	0.0289181	0.0381522	0.00448268	0.0654895	0.070956	0.10202	0.292943	0.0419979	0.124266	0.00142226	0.00312254	0.0187746	0.0201819	0.0571537	0.0186149	0.0135248	0.037695	0.101298	0.030315	0.00280902	0.00104986	0.00215099	0.0327975	0.00286974	0.0141053	0.04184836	0.01372271	0.211728	0.00952701	0.181868	0.030014	0.064937	0.00204768	0.125913	0.00621064	0.0261048	0.0466155	0.0313276	0.00133824	0.0471231	0.214332	0.000912846	0.2591504	10	72.90584	0.0386267	0.482704	0.792588	1.08397	1.64074	0.0326554	0.147254	0.215158	0.208848	0.252736	0.143348	0.2728731	0.9497103
200	-786.0563	-670.651	-115.4053	71.92044	6.873219	0.0343398	0.0679136	0.143712	0.0592643	0.0494181	0.000592887	0.00110736	0.184525	0.331512	0.0431875	0.0327175	0.0260715	0.0259907	0.0142558	0.00516696	0.00679231	0.0125429	0.00359618	0.163063	0.00901052	0.0469178	0.00704141	0.124052	0.0647041	0.0438659	0.0753197	0.121721	0.0190468	0.0295954	0.0843636	0.0525901	0.0126168	0.0204734	0.0868044	0.00373763	0.195652	0.0285815	0.0252986	0.296295	0.115189	0.0924081	0.0113712	0.000127964	0.0481796	0.00817119	0.00149792	0.129509	0.0486977	0.0536852	0.207488	0.13494	0.0162119	0.0666362	0.000903924	0.0684939	0.0510876	0.0533927	0.0100272	0.0241572	0.000544749	0.0303443	0.00329383	0.0662035	0.00136405	0.0662205	0.0186912	0.360901	0.0705913	0.0338247	0.0415387	0.0919496	0.0256388	0.00386156	0.0917001	0.06365958	0.02769081	0.106566	0.0118043	0.200756	0.0318714	0.0234376	0.00838676	0.128116	0.0293049	0.0683776	0.050422	0.024293	0.000634144	0.0938432	0.208	0.0141873	0.2503365	6	78.83581	0.03042443	0.565149	0.838411	1.07925	1.51719	0.0689274	0.194472	0.180799	0.21109	0.216998	0.127714	0.2780273	0.9004026
300	-782.0215	-677.332	-104.6895	64.57937	3.101048	0.00263529	0.00953146	0.0705567	0.0233461	0.00611937	0.0234375	0.0281278	0.0223531	0.106589	0.00295591	0.0206182	0.000902581	0.0297274	0.0283245	0.0717767	0.0453699	0.0138158	0.0177264	0.0295997	0.0194172	0.09535	0.159597	0.00706902	0.0203669	0.0423372	0.128869	0.0433424	0.0344777	0.029861	0.166106	0.044293	0.00290106	0.0396529	0.0487575	0.0244366	0.0127827	0.0122525	0.144067	0.193431	0.0995467	0.0181743	0.00565799	0.0259636	0.0209749	0.0763431	0.0223803	0.0199962	0.0638541	0.00943291	0.019606	0.0438649	0.00554669	0.138951	0.00389763	0.0082965	0.214366	0.00173888	0.167204	0.100367	0.0556831	0.0211215	0.0174634	0.057662	0.00486949	0.113943	0.00524179	0.0874244	0.00255834	0.0145413	0.0638219	0.0101477	0.0141607	0.000468233	0.0999158	0.04904187	0.02463023	0.0554113	0.0354039	0.215778	0.00476224	0.233122	0.0217812	0.139531	0.0214381	0.0258656	0.00778285	0.0335105	0.00534704	0.103673	0.0965916	1.29411e-06	0.321252	6	65.07543	0.02103686	0.396931	0.736974	1.08297	1.78312	0.0402178	0.203064	0.132218	0.232456	0.169751	0.222293	0.3458823	0.9287901
400	-763.8812	-676.7187	-87.16258	64.45941	3.981707	0.0115248	0.0466077	0.0115804	0.0526854	0.0032266	0.0133639	0.00177343	0.0172771	0.0875026	0.00470542	0.00264347	0.00422114	0.0619809	0.00571937	0.116399	0.11465	0.0232807	0.00132029	0.0633483	0.0225651	0.0314847	0.0333839	0.00155585	0.0200161	0.0163762	0.0561755	0.117345	0.00279352	0.0103968	0.0927165	0.0441158	0.0066245	0.00688421	0.0764672	0.0413773	0.0004587	0.000198734	0.0239963	0.141903	0.0567302	0.0645881	0.0279826	0.000933854	0.0159433	0.0480037	0.0146914	0.0804508	0.0304203	0.0343133	0.00363438	0.0575069	0.0304944	0.00521602	0.0318005	0.0718339	0.0371238	0.00675944	0.0959549	0.0491278	0.00200394	0.00361619	0.00869604	0.034652	0.0571154	0.000170715	0.0249789	0.0910733	0.0329367	0.00374263	0.019702	0.0156447	0.0267695	0.00025865	0.0178924	0.03701526	0.02027247	0.0369428	0.0682596	0.131134	0.0357283	0.0668499	0.0110306	0.188325	0.0235544	0.0090728	0.0338349	0.00345334	0.0363923	0.119879	0.213095	0.0224484	0.4839979	2	66.06314	0.01200337	0.453354	0.774574	1.0844	1.68767	0.0509302	0.209187	0.150329	0.180575	0.23949	0.169489	0.5042704	0.9597984
500	-795.9971	-666.7455	-129.2517	68.23076	3.239912	0.0647501	0.0600892	0.0415466	0.106287	0.132695	0.0418519	0.0124546	0.0999945	0.0104938	0.0247515	0.0750576	0.00442207	0.0593823	0.0444845	0.154842	0.199724	0.0742423	0.122667	0.0648353	0.0646155	0.0759706	0.0306391	0.0563678	0.0573827	0.0561827	0.189098	0.178156	0.00500871	0.0296633	0.18951	0.181872	0.020945	0.000394343	0.134986	0.0268495	0.021093	0.0317788	0.0972688	0.255294	0.0822159	0.163868	0.0223945	0.00874629	0.0860214	0.0751238	0.0256624	0.0915497	0.23072	0.0191618	0.0218952	0.124814	0.0533594	0.0223046	0.0199507	0.0835469	0.196171	0.0408052	0.00564043	0.0848837	0.0317929	0.0546892	0.0737744	0.0618876	0.508889	0.0178312	0.00658469	0.206879	0.0626381	0.0413045	0.0547166	0.0754899	0.0590066	0.00354278	0.0919828	0.09791046	0.01082263	0.0873587	0.0122918	0.2639	0.0448051	0.024996	0.0240799	0.103142	0.0152309	0.0214539	0.0272318	0.0806301	0.00317178	0.0549669	0.235329	0.00141159	0.205828	9	71.43383	0.03792932	0.407011	0.744002	1.08347	1.76552	0.0515224	0.210438	0.123135	0.253744	0.210396	0.150764	0.2166506	0.9500457
600	-775.369	-680.5642	-94.80487	69.18005	4.913822	0.0530636	0.00912604	0.0347707	0.0760423	0.00182895	0.000404927	0.0309592	0.0194465	0.0232934	0.0226169	0.00330775	0.0151118	0.00393069	0.0546269	0.0588094	0.0533003	0.032039	0.0105448	0.163895	0.0355875	0.015714	0.00361721	0.0194792	0.0218385	0.119063	0.110297	0.125568	0.0608343	0.0210657	0.132147	0.0419397	0.00565343	0.00306469	0.0943281	0.196427	0.0341067	0.0181225	0.126364	0.0559708	0.0814473	0.00851719	0.00111897	0.0303666	0.00318973	0.0102499	0.0215315	0.0191977	0.00851572	0.0223943	0.0220265	0.0354325	0.0223973	0.11035	0.0124378	0.0319977	0.0239314	0.0204931	0.0309406	0.00272239	0.00302789	0.146171	0.0219756	0.0385813	0.0664709	0.0952675	0.0134005	0.174263	0.0235528	0.0126813	0.0437271	0.0176305	0.080307	0.000482471	0.121192	0.04401087	-0.03755477	0.0955526	0.0203411	0.1572	0.00782446	0.0989263	0.0036308	0.153554	0.0163842	0.0216299	0.0154301	0.0973045	0.0136883	0.184927	0.113481	0.000125579	0.2151468	9	69.86986	0.02707393	0.498459	0.801866	1.08345	1.61623	0.0434386	0.238428	0.165387	0.195837	0.154009	0.202901	0.177592	1.211467
700	-800.4676	-683.0158	-117.4518	60.8794	6.5239	0.0240056	0.0592569	0.0222899	0.0355037	0.0940099	0.00581026	0.00799025	0.0150193	0.159965	0.073633	0.0443399	0.0423444	0.113524	0.0211626	0.155236	0.326291	0.0158775	0.00847219	0.0466308	0.0357452	0.054886	0.0138649	0.0255874	0.0589785	0.0384306	0.0281897	0.126871	0.248313	0.0109677	0.0134653	0.0225692	0.00132165	0.495919	0.039031	0.138976	0.0200563	0.0538564	0.159187	0.353862	0.0637245	0.0680207	0.130021	0.0166923	0.0105567	0.0132178	0.0398716	0.0857166	0.0208147	0.00122997	0.0285054	0.0799714	0.0358894	0.0347439	0.00440961	0.0328041	0.0489239	0.0627342	0.0214821	0.136726	0.167804	0.0180537	0.0375832	0.0153875	0.118098	0.0171811	0.000282285	0.220092	0.0138465	0.0884502	0.0611466	0.0437787	0.0473751	0.00259969	0.199516	0.06950819	-0.007258763	0.0822588	0.00748705	0.124121	0.109433	0.0020919	0.00643883	0.155716	0.0300905	0.0285377	0.0171754	0.0338795	0.00665245	0.205366	0.181606	0.00914597	0.2878713	8	63.505	0.04048648	0.555231	0.833238	1.08006	1.53147	0.0542648	0.169474	0.260314	0.177744	0.149766	0.188437	0.2806126	1.025868
800	-784.9937	-682.3177	-102.676	70.07423	3.318128	0.032086	0.0447107	0.0112814	0.172067	0.00264828	0.0118154	0.0487576	0.0063967	0.205648	0.0166931	0.00951974	0.0298342	0.0207915	0.0144901	0.00751313	0.0248643	0.00247131	0.00656376	0.14556	0.0302614	0.0762489	0.0834343	0.0149842	0.0008831	0.042993	0.0672669	0.0604689	0.209208	0.00495333	0.0948069	0.0940212	0.00298214	0.0762153	0.049253	0.187433	0.0243618	0.00766929	0.104513	0.148606	0.137094	0.0896821	0.00445765	0.0032621	0.00172269	0.0705304	0.00206467	0.0290074	0.00287043	0.10996	0.000534611	0.189406	0.122278	0.141765	0.0952342	0.00839668	0.0693992	0.162231	0.0053357	0.00142721	0.074029	0.0355353	0.0484243	0.0100335	0.0652253	0.0384327	0.158145	0.0430182	0.143117	0.0114461	0.131688	0.0404661	0.102989	0.00411334	0.0955444	0.06260536	-0.03769024	0.230522	0.00772465	0.0776699	0.0972986	0.0831088	0.00899553	0.103847	0.0253399	0.0747297	0.00422974	0.046825	0.00666137	0.0804669	0.151119	0.00146228	0.3615774	6	77.21117	0.03685595	0.412468	0.747748	1.08369	1.75609	0.0478116	0.183793	0.211664	0.261072	0.184772	0.110889	0.3238871	1.116368
900	-798.2655	-681.969	-116.2965	67.18724	2.785885	0.0320575	0.187268	0.0311065	0.39469	0.150463	0.00487061	0.176279	0.000790676	0.583902	0.0397462	0.019923	0.0223465	0.107338	0.00613037	0.200282	0.0208927	0.0022676	0.0463501	0.083994	0.0807922	0.190823	0.0331674	0.00656675	0.0326676	0.177156	0.160208	0.159308	0.00656705	0.0319692	0.131825	0.162713	0.00666002	0.142095	0.059362	0.0849165	0.00197857	0.0500678	0.038222	0.273656	0.0555403	0.0105307	0.00341802	0.00719688	0.0200611	0.00188638	0.0682196	0.0239692	0.0324414	0.0965409	0.0748308	0.0429498	0.000641771	0.132168	0.133126	0.12579	0.163267	0.0834384	0.0113892	0.0959321	0.00944966	0.0736215	0.128578	0.0187438	0.0679986	0.200579	0.0120715	0.0262492	0.0524292	0.0156901	0.012086	0.0912875	0.0549587	0.00347531	0.143527	0.07412261	-0.02115324	0.0672499	0.0452669	0.0734112	0.0944639	0.0583703	0.00548846	0.107666	0.0136699	0.0710016	0.000763898	0.0244888	0.00018447	0.0551901	0.368223	0.0145615	0.3217518	8	71.49727	0.04309786	0.371988	0.718939	1.08123	1.82784	0.0756203	0.239599	0.133678	0.249007	0.200005	0.102091	0.3005985	1.07037
