Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-372.5115	-338.6487	-33.86279	6.949649	1.956516	0.2730543	0.2358916	0.0636034	0.0877088	0.139345	0.106462	0.0745914	0.0639719	0.00739933	0.013721	0.18095	0.0138239	0.0991773	0.00209557	0.127311	0.0113265	0.0085128	0.3470877	4	7.248176	0.2152596	0.288028	0.650309	1.06886	1.9928	0.167059	0.16341	0.209084	0.090386	0.23967	0.130391	0.5829794	0.5953688
100	-372.9791	-338.0849	-34.8942	6.343115	3.959136	0.2064821	-0.05960872	0.0409159	0.0379178	0.0165432	0.118651	0.221181	0.0310391	0.0263817	0.00645642	0.165559	0.0473507	0.0931734	0.0204372	0.0762451	0.0517387	0.046409	0.4752268	2	8.501342	0.3095943	0.452103	0.773784	1.08441	1.68971	0.125936	0.120452	0.28747	0.107499	0.265541	0.0931026	0.4156181	1.143422
200	-377.2212	-331.7403	-45.4809	7.764976	6.074223	0.1671709	0.08058322	0.0749595	0.101593	0.0977395	0.0823182	0.0657942	0.0318478	0.0215087	0.00629097	0.0890208	0.258436	0.0797757	0.00570371	0.0183712	0.0261246	0.0405158	0.5578908	3	10.52791	0.1571882	0.54138	0.825866	1.08109	1.55166	0.184038	0.153175	0.222495	0.0756292	0.228716	0.135946	0.638474	0.8737878
300	-378.2399	-339.6704	-38.56952	6.866788	4.819097	0.2642817	-0.009147333	0.0131514	0.00591098	0.243452	0.118919	0.139793	0.0223051	0.0324261	0.00830819	0.0804618	0.16658	0.109081	0.00867412	0.00900926	0.0119749	0.0299539	0.3827085	3	7.579501	0.1228884	0.494386	0.799493	1.0836	1.62252	0.125676	0.193282	0.231931	0.0740594	0.239515	0.135536	0.3735612	1.024487
400	-370.9345	-335.5334	-35.40107	7.166814	3.703369	0.1825344	-0.04887734	0.108379	0.0644624	0.14342	0.0482084	0.08888	0.0163618	0.000700769	0.00104412	0.0701176	0.0775338	0.0642005	0.00655046	0.217418	0.0430013	0.049722	0.6131259	5	8.756242	0.2832665	0.437285	0.764283	1.08432	1.71411	0.115667	0.163956	0.260349	0.0681317	0.246817	0.145078	0.5642485	1.086624
500	-376.83	-342.3952	-34.43478	6.149631	1.851434	0.3299425	-0.01870234	0.061571	0.0816664	0.0964955	0.146321	0.134891	0.00412655	0.0240253	0.00258273	0.167651	0.0547377	0.0548802	0.0163782	0.0988888	0.031654	0.0241305	0.4000124	5	6.637971	0.256422	0.274871	0.638225	1.06579	2.02112	0.138418	0.205083	0.19657	0.104081	0.268278	0.0875698	0.3813101	1.049048
600	-375.5899	-331.1171	-44.47286	9.570459	3.662647	0.1374695	-0.01773909	0.0622189	0.120123	0.10321	0.0226966	0.0136821	0.0800024	0.00151013	0.00418344	0.134429	0.121306	0.159927	0.0495594	0.0662857	0.0543703	0.00649574	0.3015349	3	11.08554	0.1717323	0.434812	0.762671	1.08428	1.71824	0.153605	0.177561	0.188634	0.0804227	0.283192	0.116586	0.2837959	1.062507
700	-378.7315	-338.697	-40.03446	8.058927	2.253756	0.189298	0.2362543	0.0206312	0.0566487	0.156088	0.127534	0.154316	0.0481986	0.000999635	0.00130219	0.196043	0.110969	0.0284591	0.00700168	0.0231967	0.000266887	0.0683468	0.5476249	3	9.218205	0.1827864	0.321794	0.679543	1.07521	1.92345	0.171906	0.155372	0.157029	0.0744516	0.353333	0.0879078	0.7838792	0.6986088
800	-375.6556	-333.0399	-42.61575	10.22278	6.290916	0.2343257	0.0608404	0.0601431	0.087843	0.171519	0.160201	0.101572	0.0213018	0.0140114	0.00806318	0.195804	0.0620587	0.0252803	0.0129065	0.00141015	0.0405077	0.0373779	0.363979	4	11.50302	0.1426236	0.548217	0.829527	1.0806	1.54166	0.177931	0.105695	0.232065	0.077889	0.28381	0.12261	0.4248194	0.8567853
900	-379.921	-341.7748	-38.14621	6.715401	3.089939	0.2084589	0.08502941	0.0988824	0.121534	0.051006	0.0262227	0.0141055	0.01634	0.050209	0.00913703	0.102227	0.0546187	0.118014	0.0903158	0.0820791	0.113144	0.0521644	0.3425658	4	7.698174	0.2356625	0.396102	0.736389	1.08293	1.78458	0.155978	0.16513	0.230567	0.0800394	0.262078	0.106208	0.4275952	0.8011451
1000	-377.5443	-338.9642	-38.58007	7.294777	5.075937	0.1694117	0.1337095	0.18646	0.0435256	0.142434	0.0847167	0.0073058	0.0289138	0.0115081	8.73004e-05	0.193626	0.0291673	0.0424076	0.0110827	0.0363959	0.175488	0.00688147	0.5946644	3	8.864403	0.1789264	0.505201	0.805757	1.08317	1.60587	0.120766	0.157347	0.180944	0.0580646	0.364018	0.11886	0.7283739	0.8164273
1100	-379.1697	-338.3015	-40.86816	8.856981	3.062523	0.2415686	0.1882837	0.108537	0.0520227	0.117735	0.0448885	0.240942	0.0148964	0.00636476	0.0171907	0.0223443	0.089727	0.0860346	0.0232199	0.154574	0.00569741	0.0158261	0.3727324	4	10.80987	0.1688899	0.394042	0.734932	1.08281	1.78822	0.126515	0.152655	0.212319	0.110338	0.276902	0.121272	0.5610161	0.6643881
1200	-381.9883	-338.1337	-43.85457	9.269182	2.335607	0.1640273	0.01751068	0.0126975	0.087091	0.060271	0.141634	0.0922392	0.0563983	0.0187552	0.00189332	0.0790188	0.116074	0.0424873	0.0139425	0.131153	0.142295	0.00405086	0.3092259	2	13.42204	0.1157098	0.330295	0.686535	1.0765	1.90667	0.178822	0.143334	0.25133	0.102814	0.198778	0.124922	0.3267366	0.9464073
1300	-380.4351	-337.7692	-42.6658	11.2244	2.383461	0.1210341	0.1030664	0.022044	0.11199	0.0758614	0.121824	0.0342424	0.0414581	0.0764195	0.0234455	0.0799423	0.188707	0.090182	0.00882515	0.051831	0.0415017	0.0317269	0.2051962	1	12.53621	0.08789855	0.335122	0.690443	1.07717	1.89726	0.15434	0.18399	0.176253	0.0433922	0.236189	0.205835	0.3082627	0.6656538
