Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-367.2445	-328.5679	-38.67661	5.17953	3.900506	0.0911464	0.279602	0.0604093	0.0228511	0.0252176	0.0279838	0.014142	0.166471	0.147664	0.0522631	0.0183173	0.0123224	0.0998043	0.295763	0.0185672	0.0152041	0.00185435	0.0775475	0.110175	0.297667	0.0123324	0.00164109	0.234724	0.0789241	0.0802899	0.0523473	0.0733636	0.381225	0.00834413	0.0974581	0.0561653	0.0645921	0.153128	0.153069	0.39574	0.294967	0.0740228	0.24065	0.2479	0.238636	0.752545	0.114436	0.0287482	0.0898495	0.1265042	0.1631601	0.10375	0.0514538	0.0831396	0.0167956	0.0513953	0.0628216	0.0234044	0.057624	0.0742707	0.0704014	0.0539618	0.0392646	0.127536	0.053547	0.130634	0.3956827	8	5.522281	0.1144641	0.448812	0.771697	1.0844	1.69509	0.15421	0.3781	0.15767	0.144446	0.103608	0.0619663	0.5588428	0.7080394
100	-345.4481	-316.5006	-28.94752	6.720422	4.818768	0.160881	0.0573302	0.0210811	0.0573408	0.0491549	0.074456	0.0754498	0.299525	0.0967527	0.0143911	0.0670139	0.00878576	0.00690717	0.126119	0.0424016	0.0629897	0.011175	0.0254407	0.146108	0.0132604	0.0284031	0.150633	0.0119066	0.0258134	0.265993	0.0119155	0.217754	0.178398	0.0461936	0.00207078	0.0513743	0.28036	0.0397914	0.00336775	0.109018	0.208474	0.141511	0.153364	0.084252	0.0228798	0.0193147	0.0189082	0.479275	0.0530945	0.1067318	0.005331721	0.0528868	0.00836713	0.0576544	0.00869448	0.0567839	0.00581411	0.124055	0.0531621	0.0316495	0.0543889	0.0534174	0.0378081	0.123824	0.271804	0.0596909	0.3918725	7	8.459361	0.221869	0.494372	0.799484	1.0836	1.62254	0.144539	0.292181	0.200753	0.100371	0.161871	0.100284	0.3972042	0.9865769
200	-340.2129	-320.2669	-19.94607	11.63521	3.098084	0.0104076	0.0298927	0.0313316	0.0213816	0.130403	0.0178448	0.00903366	0.00270781	0.0390106	0.0215011	0.0216626	0.0313871	0.0664837	0.170085	0.00650536	0.00992464	0.00162592	0.0786709	0.0469801	0.177443	0.0499511	0.043636	0.106493	0.0500373	9.18273e-05	0.218638	0.0380638	0.0245923	0.0155227	0.0816647	0.0142108	0.14074	0.00328888	0.0413064	0.140224	0.0423769	0.0280392	0.131363	0.0136068	0.0953166	0.0390046	0.176964	0.0475006	0.0660902	0.05687557	0.1711368	0.0575394	0.0201584	0.0773048	0.0412752	0.0487025	0.0209056	0.0248342	0.0912775	0.0328209	0.0613837	0.0836263	0.0164938	0.031956	0.352468	0.0392533	0.3142043	8	12.31671	0.2089702	0.39671	0.736818	1.08296	1.78351	0.246312	0.238124	0.134267	0.0766893	0.186951	0.117657	0.4853411	0.6473887
300	-349.9786	-317.9658	-32.01273	6.638057	2.069148	0.0775635	0.0387856	0.00421271	0.0220224	0.0124841	0.0332072	0.00325502	0.00895471	0.116061	0.0182209	0.0143008	0.0329696	0.0911536	0.215741	0.0767436	0.0352516	0.00446566	0.0111863	0.052413	0.08158	0.00306555	0.00168163	0.0574198	0.0337606	0.00622954	0.646845	0.408212	0.00935622	0.00568376	0.0350498	0.0433926	0.0816745	0.44057	0.0134064	0.057464	0.063535	0.0922421	0.00208848	0.114491	0.715642	0.039883	0.090751	0.494623	0.013312	0.1030608	0.07910443	0.129402	0.00834495	0.076496	0.00336505	0.00697159	0.0325684	0.104266	0.0381515	0.00631659	0.107215	0.0925522	0.118953	0.0472361	0.202235	0.0259276	0.6532414	6	8.348112	0.1972383	0.301392	0.662171	1.07163	1.96481	0.193355	0.234507	0.133836	0.134655	0.160264	0.143384	0.7323459	0.8919849
400	-373.1359	-326.9086	-46.22728	4.979081	2.489863	0.354287	0.00389367	0.108178	0.00955029	0.157751	0.0460294	0.0407678	0.327949	0.0434924	0.0278212	0.0688783	0.122356	0.291843	0.284945	0.307744	0.0637785	0.139842	0.274363	0.0300831	0.156545	0.0139414	0.00077801	0.565655	0.46027	0.120833	0.00056006	0.0137891	0.242291	0.147283	0.106108	0.0341513	0.0207249	0.241755	0.010635	0.0932675	0.00876586	0.221279	1.17063	0.0025068	0.0359111	0.213733	0.379539	0.0203277	0.762395	0.1900883	0.3196203	0.0777384	0.0134427	0.0808994	0.0703124	0.0217733	0.0537685	0.0606076	0.0608516	0.0679539	0.180513	0.0597125	0.0593026	0.0846131	0.0901211	0.0183899	0.6175537	4	5.462627	0.2276061	0.345493	0.698698	1.07851	1.8773	0.202474	0.236841	0.183397	0.0824983	0.140307	0.154483	0.937174	0.6589531
500	-350.6711	-319.2429	-31.42821	4.897585	4.304432	0.0737316	0.153421	0.149841	0.155609	0.0262815	0.0258487	0.0201904	0.0327644	0.0483921	0.048336	0.0187904	0.00381727	0.0208946	0.141508	0.0572073	0.0261498	0.0319776	0.0385102	0.153048	0.37931	0.0339655	0.0200986	0.00349484	0.155076	0.0569781	0.256966	0.0191947	0.137173	0.211033	0.0646913	0.230453	0.0225211	0.156039	0.0795087	0.196092	0.0417195	0.207337	0.24466	0.012694	0.0479168	0.0196723	0.0197801	0.144712	0.0583091	0.09150942	0.01827494	0.044901	0.0746107	0.13717	0.0354433	0.0230823	0.0252427	0.0152248	0.0723431	0.0260296	0.000548475	0.0385345	0.184185	0.156949	0.0806014	0.0851336	0.6919257	4	12.42365	0.1287249	0.470342	0.78512	1.08424	1.66029	0.135106	0.371516	0.128975	0.124291	0.1317	0.108412	0.7102007	0.9742679
600	-359.5129	-321.9748	-37.53806	7.120177	2.703286	0.0917575	0.00397102	0.00183934	0.25234	0.0627272	0.36629	0.0173537	0.0729746	0.0110365	0.00217672	0.152001	0.0254988	0.0265638	0.277435	0.00380048	0.0724877	0.0294429	0.0569881	0.110391	0.0308344	0.192118	0.133378	0.0693828	0.0539039	0.0108326	0.00143659	0.079432	0.00121711	0.00827891	0.149166	0.142852	0.665937	0.0614486	0.0434498	0.00670219	0.0770633	0.343026	0.00387005	0.0990331	0.00240611	0.241225	0.0823238	0.00974024	0.389606	0.1287567	0.1341553	0.0934181	0.0440008	0.0854745	0.026274	0.0131992	0.0391185	0.070818	0.148979	0.0439974	0.00105072	0.126133	0.000322973	0.0397079	0.245186	0.0223196	0.4461176	6	14.50167	0.1586427	0.36492	0.713653	1.0806	1.84083	0.238379	0.220272	0.117751	0.114258	0.121876	0.187464	0.5802729	0.7688065
700	-350.9503	-323.9947	-26.95555	7.964678	1.556841	0.202247	0.0723805	0.0072697	0.0325189	0.0761803	0.0231638	0.000569973	0.0348734	0.0324289	0.119617	0.0433934	0.139278	0.172309	0.123594	0.0264138	0.00825994	0.0229584	0.0406465	0.110859	0.278049	0.0528287	0.00621065	0.116741	0.00152692	0.00387802	0.162895	0.096363	0.011852	0.0365588	0.0768671	0.131599	0.316034	0.167868	0.0829807	0.0223366	0.00286563	0.0570566	0.0341673	0.0451182	0.120379	0.0313799	0.0759477	0.0668728	0.0498031	0.07660595	-0.05224397	0.0487218	0.031017	0.24664	0.0587244	0.00212219	0.05349	0.0344732	0.0153639	0.052482	0.16606	0.0618501	0.0689715	0.00115467	0.103159	0.0557702	0.5177953	8	9.42409	0.07632027	0.233971	0.597752	1.05359	2.11468	0.176803	0.35214	0.145015	0.104939	0.0932173	0.127886	0.4655513	1.11222
800	-376.5821	-321.8586	-54.72352	4.828514	0.9450013	0.188008	0.00367817	0.110612	0.144983	0.0559988	0.713224	0.0724898	0.138913	0.413678	0.0295436	0.465135	0.0800686	0.0531245	0.0647165	0.00106574	0.00594516	0.0228194	0.181394	0.21578	0.0448738	0.231169	0.322247	0.00605123	0.934844	0.047054	0.183089	0.995559	0.345036	0.316505	0.023581	0.0706908	0.12437	0.00577108	0.0110299	0.0253044	0.0865766	0.854039	0.0898248	0.0747367	0.513668	0.0541126	0.079389	0.188632	0.29093	0.1593331	-0.05443539	0.0596584	0.036327	0.0366484	0.0680225	0.0844871	0.122373	0.044901	0.0387772	0.0216097	0.102126	0.0429165	0.128234	0.0775221	0.0603502	0.0760462	0.4235737	6	5.700328	0.2068575	0.125854	0.459573	0.990254	2.42432	0.216797	0.234606	0.0969948	0.149778	0.169609	0.132215	0.3691383	1.147466
900	-359.5715	-322.9198	-36.65168	6.510312	4.299498	0.126153	0.108541	0.0678866	0.346368	0.0390193	0.00376273	0.0531872	0.0389394	0.0350738	0.0698663	0.00256732	0.021517	0.202415	0.289114	0.102366	0.0115464	0.013669	0.0541717	0.152847	0.0585112	0.075571	0.102193	0.173302	0.020966	0.300232	0.269764	0.0332863	0.0319002	0.208231	0.119123	0.121636	0.255529	0.00581529	0.0328326	0.226585	0.00583212	0.00440692	0.0996177	0.00164656	0.0393004	0.453673	0.0815494	0.0731904	0.164754	0.1227796	-0.1122065	0.0946961	0.0268486	0.0734827	0.0775599	0.0639208	0.0517361	0.0709991	0.0585502	0.0333651	0.0169859	0.0628357	0.0745115	0.106256	0.0656909	0.122561	0.5633414	8	6.840915	0.1213862	0.470095	0.784968	1.08425	1.66069	0.222036	0.321587	0.0885406	0.113265	0.142483	0.112089	0.4511349	1.24872
