Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-899.4901	-593.0031	-306.4871	11.23665	3.976063	0.02394745	0.0215227	0.0261589	0.0488001	0.224164	0.0557929	0.000778686	0.00281763	0.151949	0.0403251	0.075657	0.0828615	0.0541203	0.0684074	0.0495675	0.102021	0.0165783	0.2602139	14	80.92149	0.04597152	0.453042	0.774377	1.0844	1.68818	0.13942	0.260767	0.224742	0.134114	0.174782	0.0661753	0.2817366	0.923607
100	-873.7899	-569.4363	-304.3535	5.696278	3.583212	0.02613187	-0.0400702	0.00583288	0.0767002	0.104989	0.0233466	0.033562	0.00938081	0.0968486	0.00914004	0.105789	0.0924929	0.0335164	0.0960851	0.0654554	0.244058	0.00280317	0.2856783	17	79.48109	0.04353547	0.429889	0.759439	1.0842	1.72648	0.177064	0.241339	0.169354	0.0999258	0.228376	0.083941	0.2456081	1.163147
200	-886.4155	-574.1225	-312.293	4.926185	9.307261	0.0224229	-0.02359302	0.0406504	0.0667125	0.110249	0.0146086	0.0283067	0.00985369	0.0682285	0.015221	0.060403	0.0936654	0.0524663	0.038883	0.0993716	0.226419	0.0749613	0.4127581	16	79.74527	0.02768054	0.619449	0.865261	1.07377	1.44152	0.140176	0.254871	0.168793	0.0946119	0.252532	0.0890167	0.3891651	1.060625
300	-881.9895	-581.4171	-300.5724	5.716112	5.24815	0.0222474	0.004150131	0.0227336	0.0513589	0.0525666	0.0214228	0.0740716	0.00736732	0.118847	0.0016739	0.118874	0.159384	0.0495046	0.0686627	0.021247	0.170635	0.0616501	0.4079738	15	73.12211	0.0462916	0.512069	0.809673	1.08284	1.59541	0.143541	0.279019	0.135782	0.124574	0.241925	0.0751591	0.4121239	0.9899299
400	-875.0515	-583.1437	-291.9078	6.741646	3.508454	0.02312105	0.01524474	0.024617	0.0631226	0.0714846	0.0566387	0.0313884	0.0223546	0.112023	0.00426619	0.0797561	0.0347987	0.108496	0.161379	0.0386358	0.1692	0.0218397	0.4100001	19	75.1229	0.04276778	0.425136	0.756289	1.08409	1.73449	0.146193	0.287738	0.172549	0.0999435	0.222765	0.0708114	0.4252449	0.9641507
500	-874.5536	-599.6044	-274.9491	3.656198	3.724942	0.0291691	-0.0008146362	0.0388891	0.0551599	0.0316384	0.088742	0.000989842	0.00854462	0.112335	0.00970988	0.106958	0.133329	0.0463131	0.0791408	0.1384	0.0918974	0.0579528	0.5426147	21	68.45981	0.03530005	0.438583	0.765126	1.08433	1.71196	0.128939	0.291449	0.226308	0.122184	0.149136	0.0819835	0.5418	1.001504
600	-895.4742	-598.9013	-296.5728	8.526546	2.292405	0.02763713	-0.01269428	0.0259216	0.0983557	0.0336077	0.019864	0.0168501	0.0104408	0.18787	0.0189715	0.0651558	0.061775	0.0636759	0.151665	0.0688496	0.0841093	0.0928875	0.3864223	18	72.45946	0.04345508	0.325848	0.682894	1.07584	1.91542	0.218565	0.169352	0.226071	0.093124	0.208075	0.0848147	0.373728	1.033967
700	-888.4147	-606.9994	-281.4153	3.617723	1.959406	0.03868494	0.004559196	0.0323663	0.0434037	0.122073	0.00825226	0.00177125	0.0131066	0.132125	0.019104	0.101914	0.0535676	0.0750556	0.104481	0.0276858	0.215123	0.0499705	0.3282282	19	82.02792	0.0619563	0.28838	0.650626	1.06894	1.99205	0.15176	0.180786	0.196026	0.10842	0.253188	0.10982	0.3327874	0.9863
800	-885.6676	-599.912	-285.7556	7.599403	2.797687	0.02586368	-0.008878352	0.0236501	0.0792121	0.0470725	0.0753541	0.0276982	0.0167514	0.120003	0.0132309	0.0103482	0.0520042	0.0212613	0.132973	0.0128385	0.299515	0.068087	0.4131156	20	69.99496	0.05430692	0.372979	0.719673	1.08132	1.82603	0.190227	0.272286	0.108516	0.130878	0.226464	0.0716289	0.4042372	1.021963
900	-889.8717	-599.5529	-290.3188	6.368981	3.551102	0.02322629	-0.009131351	0.0776725	0.0877701	0.0863709	0.0910624	0.056629	0.0242917	0.101155	0.0130284	0.0338845	0.0675553	0.0485053	0.089087	0.0562352	0.155541	0.0112116	0.4713569	15	77.93404	0.0339259	0.427862	0.758099	1.08415	1.72989	0.11127	0.237517	0.148573	0.135706	0.277757	0.0891768	0.4622256	1.019755
1000	-877.2631	-589.5628	-287.7003	8.109593	5.173216	0.02221303	-0.01487748	0.0234871	0.0556151	0.147322	0.0408068	0.0018838	0.0196038	0.165133	0.0147299	0.035233	0.0688865	0.0422406	0.0777362	0.0451698	0.210544	0.051608	0.4180177	17	67.19523	0.06069659	0.509116	0.807995	1.08299	1.5999	0.147647	0.181668	0.168418	0.0997374	0.319988	0.0825416	0.4031402	1.036904
1100	-867.1703	-585.9183	-281.252	6.977619	4.829624	0.03256648	0.02147277	0.0165902	0.0295904	0.0520087	0.0230902	0.0708072	0.0110193	0.107757	6.82589e-05	0.0709022	0.0885103	0.0438558	0.0929035	0.1139	0.14966	0.129337	0.4606223	22	73.80383	0.03650957	0.494844	0.79976	1.08359	1.62181	0.18475	0.324239	0.126964	0.12522	0.169508	0.06932	0.4820951	0.9554595
1200	-854.4923	-585.5955	-268.8968	5.317904	3.078782	0.03003241	0.009611976	0.0204603	0.0399742	0.0968518	0.0348567	0.0596969	0.0113088	0.150563	0.00176161	0.0632369	0.0682296	0.0427467	0.100737	0.0498047	0.207097	0.0526744	0.5581512	23	63.06457	0.04917031	0.395266	0.735799	1.08288	1.78606	0.15327	0.254758	0.148565	0.110719	0.251392	0.0812966	0.5677632	0.9830704
1300	-889.7579	-609.1963	-280.5616	4.034216	3.705102	0.02519042	-0.01207811	0.0134033	0.0164684	0.0546602	0.0260094	0.0589327	0.0153635	0.110931	0.00991632	0.054944	0.140133	0.0771743	0.0622215	0.0932721	0.263417	0.00315216	0.5028311	16	69.91952	0.03599052	0.43739	0.764351	1.08432	1.71394	0.196521	0.259562	0.147792	0.0939685	0.165341	0.136815	0.490753	1.024611
1400	-878.4057	-594.7982	-283.6076	6.633662	2.362139	0.03529366	0.01134097	0.0250111	0.0467518	0.0605525	0.0337865	0.0767312	0.00901585	0.217356	0.00392703	0.102315	0.117341	0.0607993	0.0422869	0.0749816	0.0976163	0.0315282	0.5137084	16	69.29885	0.02995147	0.332984	0.688718	1.07688	1.90142	0.197118	0.270234	0.137971	0.0814546	0.239158	0.0740657	0.5250494	0.9784002
1500	-868.9638	-594.0139	-274.9499	4.920782	1.88092	0.0358513	-0.009959794	0.0171482	0.0768755	0.0771849	0.02703	0.00159353	0.0152765	0.109164	0.00711576	0.0602538	0.110368	0.124475	0.164555	0.0893592	0.108625	0.0109759	0.3884971	15	74.82532	0.04697702	0.278633	0.641723	1.0667	2.01294	0.141782	0.288659	0.154851	0.123072	0.196889	0.0947457	0.3785374	1.026311
1600	-891.7272	-599.846	-291.8812	18.36249	4.856505	0.02934214	0.03004319	0.0208575	0.0676982	0.161072	0.0473754	0.0093342	0.00614712	0.129931	0.0213671	0.0147477	0.0746516	0.0678823	0.0532321	0.00457068	0.232935	0.088198	0.3726431	13	80.73439	0.05210025	0.496007	0.800439	1.08354	1.62001	0.156071	0.213807	0.167505	0.139119	0.246774	0.0767246	0.4026863	0.9253931
1700	-886.4192	-566.5016	-319.9176	9.471076	3.527551	0.01540878	0.03379051	0.0122601	0.104476	0.150261	0.0399638	0.00552966	0.00844994	0.0891246	0.00512512	0.0235402	0.0410725	0.0682268	0.126272	0.0172502	0.215869	0.0925787	0.251444	16	83.49187	0.03663925	0.426361	0.757104	1.08412	1.73242	0.139187	0.395098	0.12541	0.102179	0.139841	0.0982851	0.2852345	0.8815343
1800	-880.2344	-588.0763	-292.1581	5.360043	3.933941	0.02913954	-0.01423015	0.0114226	0.0354861	0.130624	0.0318527	0.0228761	0.00666682	0.123836	0.0136978	0.143567	0.0638111	0.0731706	0.0609043	0.0808997	0.192048	0.00913726	0.4354984	17	68.1498	0.03748298	0.450696	0.772893	1.08441	1.692	0.180492	0.26795	0.17324	0.126139	0.195584	0.0565943	0.4212683	1.033779
1900	-877.164	-573.4855	-303.6785	2.347752	2.351154	0.02067481	-0.01268519	0.000982958	0.0289305	0.0824223	0.0130625	0.123685	0.0089891	0.0947762	0.00272389	0.141817	0.0319627	0.0479071	0.0583995	0.0213746	0.266947	0.0760195	0.391012	20	78.01218	0.0478683	0.331875	0.687819	1.07672	1.90358	0.220322	0.210645	0.140413	0.114439	0.248848	0.0653329	0.3783268	1.03353
2000	-869.3059	-569.4109	-299.8951	6.728398	3.408896	0.02370656	0.007527086	0.000509533	0.0285236	0.1014	0.0252325	0.0594825	0.00338396	0.0679966	0.00565637	0.157171	0.0641339	0.0582709	0.0471116	0.0454696	0.296104	0.0395542	0.2592254	23	89.9315	0.0359109	0.418614	0.751919	1.08391	1.74556	0.194325	0.264254	0.119754	0.127484	0.225988	0.0681961	0.2667525	0.9717825
2100	-878.4294	-593.3226	-285.1068	8.374798	2.323767	0.03171915	0.008911138	0.0345481	0.0263471	0.082787	0.0177888	0.0215741	0.00868263	0.0964582	0.0148123	0.0124883	0.0364812	0.0717938	0.0433263	0.00826645	0.37173	0.152915	0.4252263	20	72.52442	0.06139786	0.329085	0.685548	1.07632	1.90905	0.181849	0.236019	0.218301	0.151308	0.143897	0.0686263	0.4341374	0.9794739
2200	-889.5268	-598.8768	-290.6499	26.58588	2.842486	0.02111409	-0.03088713	0.0515774	0.0585745	0.0942253	0.0231388	0.0621491	0.0159387	0.209773	0.0214433	0.0414948	0.122194	0.0512664	0.113712	0.0361989	0.0519712	0.0463433	0.3686027	15	75.17862	0.04844932	0.376697	0.722416	1.08162	1.81927	0.190387	0.198609	0.137371	0.0963414	0.252451	0.124841	0.3377155	1.091459
2300	-885.3535	-599.0251	-286.3284	8.165586	2.145449	0.03318488	-0.02023168	0.0131278	0.0284541	0.0960973	0.0378479	0.00797972	0.00739371	0.19828	0.00908499	0.0148634	0.129261	0.0361588	0.0274308	0.0867327	0.273481	0.0338068	0.3081468	18	77.07138	0.06335652	0.31004	0.66964	1.07324	1.94708	0.193155	0.264594	0.148836	0.0727971	0.231347	0.0892706	0.2879151	1.07027
2400	-878.7822	-593.5619	-285.2203	1.539351	3.310154	0.02847991	-0.04036674	0.0801457	0.0118014	0.0564081	0.100505	0.0192297	0.0145736	0.11676	0.00787472	0.052797	0.0569677	0.082449	0.146595	0.0447182	0.184826	0.024349	0.4521353	16	79.72293	0.03727618	0.411918	0.747373	1.08367	1.75704	0.144534	0.299569	0.178385	0.143693	0.161281	0.0725376	0.4117686	1.098033
2500	-887.0126	-603.2667	-283.7459	2.620651	2.298716	0.04046542	0.06609193	0.0336853	0.0930766	0.106046	0.0339398	0.0184261	0.0105659	0.120447	0.00717193	0.00391789	0.136169	0.0725431	0.0434236	0.00971616	0.220118	0.0907532	0.3933679	18	74.71626	0.05392932	0.326503	0.683433	1.07594	1.91413	0.114467	0.24127	0.149954	0.125276	0.245335	0.123698	0.4594598	0.856153
2600	-877.2164	-579.0462	-298.1702	9.664753	3.028131	0.02175563	0.01038655	0.0173381	0.040197	0.100414	0.0515999	0.00314884	0.00454959	0.161792	0.00627861	0.0462766	0.130046	0.0626085	0.158711	0.00369544	0.162739	0.0506055	0.48362	17	74.74139	0.03768167	0.391427	0.733074	1.08265	1.79285	0.206423	0.258574	0.171075	0.0961754	0.210388	0.0573655	0.4940065	0.9789749
2700	-887.0439	-584.2123	-302.8315	6.411303	3.086654	0.02874216	-0.01253794	0.0311088	0.0329482	0.134407	0.0128748	0.0154795	0.00436976	0.195628	0.00930668	0.0487124	0.0442835	0.031097	0.0403117	0.0425022	0.253591	0.103379	0.4196919	15	86.71277	0.03797095	0.395856	0.736216	1.08291	1.78502	0.160189	0.238556	0.156032	0.0899693	0.278294	0.0769599	0.407154	1.030794
2800	-887.3467	-588.1141	-299.2325	9.967373	2.668586	0.02335556	-0.01102938	0.0112515	0.0303237	0.0425755	0.0572406	0.0189064	0.00278103	0.128874	0.0105865	0.0993217	0.058229	0.149231	0.0833086	0.048895	0.124935	0.13354	0.4301782	14	73.51467	0.02825057	0.361879	0.711354	1.08031	1.84646	0.169042	0.299725	0.100346	0.177995	0.155963	0.0969295	0.4191488	1.026314
2900	-893.8137	-585.2976	-308.5161	7.697481	3.126706	0.02504644	-0.01971499	0.0158424	0.0148009	0.0877752	0.0410637	0.0688937	0.0141368	0.113325	0.0049722	0.0446078	0.135388	0.0927842	0.0932341	0.0885472	0.136943	0.0476854	0.3336165	12	79.95712	0.04982915	0.398833	0.73831	1.08307	1.77978	0.205536	0.282331	0.166081	0.0960427	0.183837	0.0661719	0.3139015	1.062806
3000	-888.429	-575.5227	-312.9063	6.542734	4.032679	0.02491893	-0.01733635	0.0321913	0.0270595	0.0899965	0.0377286	0.00797753	0.00929437	0.159386	0.00866278	0.0589514	0.057771	0.0944835	0.095457	0.0368351	0.250474	0.0337314	0.375332	10	83.02626	0.03047827	0.456148	0.776332	1.08439	1.68313	0.173955	0.19496	0.168908	0.117875	0.238943	0.10536	0.3579957	1.048426
3100	-910.3937	-608.0548	-302.339	7.645557	1.89242	0.01716413	-0.05250295	0.0296591	0.153654	0.0844111	0.0796364	0.035109	0.0314545	0.142216	0.00365911	0.0639198	0.0276529	0.0626237	0.0908293	0.0579333	0.11987	0.0173711	0.3563812	18	79.98376	0.05093595	0.280085	0.643063	1.06705	2.0098	0.107752	0.199842	0.149409	0.134271	0.271117	0.137609	0.3038783	1.172776
3200	-880.6063	-586.4581	-294.1483	4.680751	2.121026	0.01911863	0.01619586	0.0285814	0.0463945	0.0410722	0.0266674	0.0428912	0.00698588	0.0824149	0.027246	0.0885664	0.0639337	0.0779515	0.179317	0.0611256	0.197873	0.028979	0.2857601	16	72.42839	0.04039341	0.307306	0.667296	1.07274	1.95266	0.200964	0.262569	0.128443	0.119714	0.184255	0.104054	0.3019559	0.9463635
3300	-878.3481	-586.4532	-291.8949	5.506537	4.196115	0.02551098	-0.02515826	0.00249476	0.0604471	0.108899	0.0291876	0.00945576	0.0105666	0.0815173	0.00577005	0.0739629	0.0214805	0.0860036	0.17834	0.0770315	0.223312	0.031531	0.3292211	19	83.13504	0.04514494	0.464822	0.781729	1.08432	1.66913	0.192358	0.340431	0.110737	0.138565	0.149469	0.0684394	0.3040628	1.08274
3400	-879.8831	-588.3442	-291.5389	3.095152	2.845303	0.0270541	-0.0237567	0.0192102	0.0584711	0.0618994	0.0456425	0.04017	0.0136063	0.0569075	0.0143022	0.0310412	0.0288161	0.116645	0.144219	0.0209512	0.220695	0.127423	0.3760347	15	74.53718	0.05250876	0.376929	0.722586	1.08164	1.81885	0.148087	0.324501	0.161073	0.133829	0.139698	0.0928114	0.352278	1.067437
3500	-876.4723	-587.7768	-288.6956	10.37789	2.442544	0.02103883	0.04473233	0.0189674	0.0258292	0.0777003	0.0179188	0.0721969	0.00438867	0.110349	0.00127261	0.140707	0.0630963	0.0357453	0.149211	0.0210464	0.23274	0.0288321	0.3295474	16	68.87155	0.05005341	0.340941	0.695099	1.07794	1.88602	0.162275	0.211157	0.185945	0.107244	0.255059	0.078321	0.3742798	0.8804843
3600	-879.539	-590.972	-288.567	6.389478	2.818679	0.03575989	0.01726378	0.029014	0.0973064	0.090398	0.0245757	0.00341681	0.00278276	0.117486	0.00102746	0.0522102	0.108863	0.0640373	0.0742761	0.047465	0.230616	0.056525	0.4196372	17	73.77499	0.04960305	0.374729	0.720967	1.08146	1.82284	0.160662	0.267314	0.138271	0.137213	0.207042	0.0894975	0.436901	0.9604858
3700	-870.6767	-572.5356	-298.1411	33.24689	3.456996	0.02157489	-0.006304899	0.0177725	0.0265179	0.074228	0.0779373	0.0134749	0.00657216	0.0502535	0.0095067	0.0438566	0.0685835	0.0825048	0.153192	0.0882116	0.239274	0.0481137	0.4047588	18	77.60406	0.04741064	0.421793	0.754056	1.084	1.74015	0.172916	0.251691	0.145179	0.138188	0.187323	0.104702	0.398454	1.015823
3800	-868.1879	-586.6243	-281.5636	9.035139	3.082312	0.02687131	0.009469947	0.0141404	0.0715648	0.0427787	0.0406454	0.034816	0.00746661	0.179325	0.0113203	0.0489575	0.101474	0.070603	0.0696513	0.0774502	0.125187	0.10462	0.3227384	18	78.03215	0.04842042	0.395531	0.735986	1.08289	1.78559	0.177886	0.25926	0.138343	0.0984537	0.247029	0.079028	0.3322083	0.971494
3900	-881.1945	-574.7776	-306.4169	19.81577	1.556787	0.02240127	-0.05980721	0.00593329	0.0462519	0.101896	0.0435277	0.029854	0.00795614	0.108233	0.0101763	0.0453282	0.0756191	0.0624205	0.168819	0.0860423	0.130244	0.0776993	0.3015134	17	89.67147	0.04287744	0.233963	0.597744	1.05359	2.1147	0.174252	0.339664	0.143355	0.118594	0.144872	0.0792631	0.2417062	1.247438
4000	-881.3113	-582.7263	-298.585	69.32188	4.568119	0.02589236	0.05232762	0.0448532	0.0226195	0.0947028	0.0399973	0.00753895	0.00389261	0.126581	0.029801	0.0159362	0.0537306	0.123244	0.0785891	0.0922766	0.203433	0.0628044	0.3660325	16	72.89344	0.06171339	0.483087	0.792817	1.08396	1.64013	0.171172	0.238901	0.172779	0.116941	0.159897	0.140309	0.4183601	0.8749221
4100	-899.4951	-579.8718	-319.6232	5.468939	3.900102	0.01625683	0.02163055	0.018107	0.075362	0.147791	0.0394098	0.0493391	0.0164034	0.145602	0.0161872	0.0647911	0.0499591	0.0429102	0.111041	0.0405746	0.174209	0.00831408	0.3847754	15	104.4454	0.02781853	0.448789	0.771682	1.0844	1.69513	0.184505	0.253425	0.15741	0.103862	0.221191	0.079607	0.406406	0.946776
4200	-872.0312	-586.5212	-285.51	9.268719	3.510213	0.03135599	-0.0004025214	0.0386462	0.0339988	0.058706	0.032296	0.00518601	0.00332678	0.0699666	0.00357076	0.146043	0.0603058	0.0687562	0.05036	0.0208116	0.274573	0.133453	0.347581	18	73.96233	0.05287608	0.425249	0.756364	1.08409	1.7343	0.13277	0.311405	0.153515	0.119588	0.197413	0.0853089	0.3471785	1.001159
4300	-877.5837	-591.2742	-286.3095	11.59484	4.272862	0.02481347	-0.001919001	0.0403868	0.0706098	0.0935518	0.0338467	0.0591452	0.0100116	0.0420469	0.00504981	0.0975684	0.0723477	0.0450448	0.0973285	0.0860551	0.209286	0.0377215	0.318599	17	68.24968	0.04084454	0.468751	0.784146	1.08427	1.66283	0.113997	0.272847	0.163264	0.135475	0.229604	0.0848135	0.31668	1.00606
4400	-884.2157	-585.585	-298.6307	7.391197	4.399251	0.02197343	-0.006577213	0.0131538	0.0464332	0.154045	0.0379886	0.0121302	0.0103856	0.0941656	0.00435362	0.0563738	0.0764203	0.0473844	0.0558835	0.061866	0.32754	0.00187622	0.3648283	16	81.23197	0.04446735	0.475035	0.787975	1.08415	1.65284	0.136987	0.276673	0.216858	0.114866	0.15091	0.103705	0.3582511	1.018359
4500	-878.4317	-586.2138	-292.2179	6.569378	3.978023	0.02439979	-0.02742239	0.00423654	0.0443709	0.053052	0.0220278	0.0717123	0.00650087	0.151148	0.00304285	0.0267401	0.197511	0.0541515	0.0114946	0.0684583	0.259532	0.0260211	0.4489935	19	69.75448	0.05076508	0.453151	0.774446	1.0844	1.688	0.255836	0.222241	0.122497	0.0873067	0.225	0.0871184	0.4215711	1.065048
4600	-879.8551	-583.3289	-296.5262	11.37582	2.516622	0.02410604	0.01462063	0.0369615	0.0500325	0.187956	0.0233549	0.00161409	0.0401957	0.0912889	0.00605851	0.0495306	0.0658664	0.0809586	0.0869134	0.103973	0.164426	0.010869	0.3501593	18	73.44099	0.05224728	0.348027	0.700685	1.07881	1.87247	0.186978	0.229844	0.115216	0.123321	0.229274	0.115367	0.36478	0.9599193
4700	-883.9763	-579.8468	-304.1295	8.379525	4.061693	0.02077143	-0.009371158	0.0163893	0.0817801	0.10756	0.0435997	0.0417621	0.00475951	0.0978297	0.0139126	0.0664978	0.0835646	0.0957188	0.0920094	0.0478419	0.151511	0.0552636	0.5081892	16	75.46169	0.03041811	0.457719	0.777316	1.08439	1.68058	0.185732	0.274682	0.170381	0.111702	0.177908	0.0795947	0.498818	1.018787
4800	-877.2119	-585.2112	-292.0006	5.680818	2.53876	0.02834649	0.02431656	0.00157505	0.0222005	0.199364	0.0319471	0.0384792	0.00497567	0.15852	0.0119964	0.0848044	0.057346	0.0529422	0.146771	0.0215689	0.127379	0.0401318	0.5019001	16	80.54047	0.04237795	0.350101	0.702303	1.07905	1.86854	0.150459	0.275419	0.157014	0.127114	0.20759	0.0824023	0.5262167	0.9537898
