Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-554.4846	-513.9367	-40.54785	11.7735	2.849516	0.0787043	0.00953124	0.118089	0.0171788	0.0950062	0.0143677	0.00686386	0.00342988	0.0451956	0.0202099	0.0812658	0.0175383	0.0775691	0.00270357	0.0360519	0.0740758	0.0146051	0.00781526	0.00955439	0.0366321	0.0777226	0.0387873	0.00874904	0.00303143	0.00499716	0.0153776	0.0147083	0.0610505	0.205203	0.0666103	0.00019117	0.0872797	0.00265537	0.0791801	0.0316481	0.131333	0.00280298	0.00154366	0.0585823	0.0445284	0.05047974	0.0007717596	0.038353	0.0024909	0.134299	0.0240696	0.000435957	0.00540994	0.031529	0.0540824	0.0441463	0.0803973	0.0129357	0.0619803	0.0771781	0.17077	0.261923	0.1994316	5	68.9916	0.01652048	0.377274	0.72284	1.08166	1.81822	0.201132	0.255042	0.169897	0.141428	0.164679	0.0678218	0.2002033	0.9961451
100	-538.8737	-508.9676	-29.90609	29.98692	5.315925	0.0104822	0.00876913	0.00510395	0.00968181	0.005904	0.00308031	0.00232386	0.00970211	0.0152057	0.0202655	0.0388953	0.0101541	0.00288592	0.00661677	0.0447589	0.00318075	0.00314384	0.00182402	8.38774e-05	0.00613283	0.0462149	0.0248398	0.0190147	0.0834561	0.00881013	0.0185582	0.0314701	0.00724424	0.0343674	0.019263	0.0188413	0.0522988	0.0188247	0.00590587	0.00183909	0.00821468	0.0123696	0.00971556	0.00450031	0.0171224	0.01527332	-0.009454701	0.00161957	0.0108143	0.174338	0.0642684	0.00470447	0.00200902	0.0548195	0.0297719	0.0653484	0.0226299	0.0314143	0.179771	0.0502429	0.175818	0.13243	0.1058364	4	106.4146	0.04318886	0.514692	0.811156	1.08271	1.59144	0.177736	0.241608	0.20275	0.14447	0.141251	0.0921842	0.09638168	1.098096
200	-553.3595	-517.0979	-36.26154	21.75637	3.73712	0.0528094	0.0117069	0.0372348	0.00611035	0.0414967	0.0567795	0.0134113	0.0216779	0.0270799	0.0207689	0.154715	0.0121501	0.000218137	0.0382323	0.0601092	0.0092422	0.00123161	0.00747119	0.00140818	0.100285	0.0127395	0.00823612	0.0401069	0.00388431	0.00177654	0.0649894	0.101389	0.000961826	0.0261965	0.0151461	0.011257	0.0301845	0.161892	0.0549051	0.000671845	0.0177631	0.0118836	0.0463634	0.0736412	0.0140005	0.03210108	0.003793016	0.0359754	0.0267329	0.175061	0.00543217	0.0920785	0.00309807	0.0258761	0.00579002	0.0590817	0.0106511	0.0026128	0.15287	0.03416	0.0269573	0.343622	0.159903	6	72.50793	0.01322877	0.439311	0.765598	1.08434	1.71075	0.18155	0.281265	0.145106	0.142344	0.187386	0.0623489	0.1636961	0.9768289
300	-544.5309	-520.4321	-24.09875	41.3982	1.561574	0.0672987	0.0144579	0.015753	0.0103287	0.0264015	0.0256737	0.00585944	0.0243542	0.00969454	0.0252019	0.0032958	0.0447408	0.0290873	0.0584686	0.0339598	0.00648875	0.00199365	0.00088442	0.0822906	0.0170568	0.0110917	0.0127023	0.0437553	0.0512536	0.0557407	0.0210786	0.00107822	0.0264986	0.00338226	0.0445621	0.00524894	0.000830601	0.0343798	0.00401969	0.0250647	0.0292671	0.0314933	0.00311099	0.0319205	0.00119884	0.0228456	0.01048705	0.0468604	0.0570182	0.178699	0.0161686	0.0639372	0.00287543	0.0386872	0.0250808	0.0499179	0.119632	0.0081353	0.0560471	0.0643953	0.192483	0.0800626	0.1207512	7	98.24839	0.01129653	0.23468	0.598495	1.05384	2.11298	0.132844	0.256372	0.155228	0.125629	0.232365	0.0975628	0.1312382	0.9200915
400	-547.6253	-518.5801	-29.04528	24.39775	2.455322	0.0137973	0.0150498	0.041959	0.0214611	0.00546251	0.00532973	0.00153604	0.0484007	0.117114	0.013378	0.03129	0.00747404	0.0206318	0.00985154	0.00547627	0.0015686	0.00131078	0.00134251	0.00125006	0.0229252	0.0231119	0.0380999	0.038761	0.00243355	0.0118943	0.011751	0.0520125	0.0349426	0.00967422	0.0212735	0.0360612	0.0179041	0.023549	0.00996884	0.0531315	0.0257753	0.0437714	0.0505885	0.0504709	0.0284579	0.02360101	0.004192214	0.0179415	0.000849127	0.255987	0.0145199	0.0220463	0.00182485	0.0357135	0.0734656	0.0144302	0.0457665	0.0532623	0.0805658	0.162936	0.0631994	0.157492	0.1378148	5	81.95702	0.01938104	0.342179	0.696082	1.0781	1.88364	0.174528	0.292264	0.179162	0.125946	0.117928	0.110172	0.142007	0.9704788
500	-554.0625	-515.9348	-38.12766	12.9918	8.852359	0.0572142	0.00224892	0.0160557	0.028662	0.114507	0.0178029	0.0122219	0.00334016	0.049129	0.0104372	0.0155576	0.0171841	0.00134649	0.00161658	0.0465722	0.0266086	0.00135689	0.00595807	0.000445152	0.00659893	0.00621784	0.0400033	0.0400249	0.0152104	0.00537144	0.0716255	0.221193	0.00852021	0.0170551	0.00716657	0.0244976	0.0181613	0.0180191	0.0536237	0.0115847	0.125824	0.000756011	0.00154678	0.0194529	0.0500404	0.0282115	0.00044223	0.0454716	0.00926023	0.246465	0.0180295	0.0324063	0.0127296	0.0509248	0.0184446	0.0506723	0.000320047	0.0117841	0.164601	0.0430475	0.154133	0.14171	0.1958451	5	72.34314	0.01250727	0.610868	0.861176	1.07475	1.45321	0.147897	0.276709	0.263718	0.100137	0.152616	0.0589236	0.1962874	0.997747
600	-550.4663	-521.7815	-28.68481	10.80455	1.383713	0.00412063	0.0350347	0.00742295	0.00750207	0.0724423	0.0261706	0.0302138	0.0229321	0.00136859	0.0103114	0.0205241	0.0174905	0.034908	0.000744694	0.0179863	0.0325367	0.0346861	0.00942411	0.00181295	0.00558603	0.0160704	0.0196365	0.0217938	0.00806735	0.0279317	0.0399542	0.00654212	0.0547171	0.00694687	0.0384857	0.000536518	0.0239659	0.0426685	0.043674	0.0400181	0.0190422	0.00258105	0.043931	0.00782749	0.0156888	0.01878075	0.02831629	0.028507	0.000850355	0.25292	0.0155089	0.0132342	0.0165501	0.0372448	0.0317695	0.0773003	0.0284731	0.00811971	0.131115	0.0249346	0.234438	0.0990343	0.09583845	3	87.63569	0.01406227	0.206787	0.567982	1.04279	2.18244	0.220458	0.163583	0.156199	0.106227	0.279041	0.0744926	0.1241547	0.7719274
700	-541.7207	-519.0041	-22.71654	22.93136	2.03405	0.0377125	0.0232867	0.0215269	0.00632596	0.0301104	0.00626933	0.00446779	0.00514036	0.00912405	0.0357941	0.00452773	0.0023187	0.00946637	0.000191627	0.0177831	0.0011483	0.0103428	0.000911018	0.00229684	0.00789808	0.0270618	0.0304685	0.0473552	0.0108235	0.00760743	0.0077705	0.00479964	0.00996017	0.00462556	0.0134125	0.0072822	0.0156467	0.00108952	0.0586292	0.0105725	0.0213788	0.0279052	0.00821146	0.0297624	8.11131e-05	0.01292851	-0.002216195	0.0331714	0.00269442	0.19318	0.0356671	0.0663941	0.00863917	0.055605	0.0494143	0.0825702	0.0296934	0.0191709	0.115118	0.0822727	0.109576	0.116833	0.1237132	1	93.31882	0.01890636	0.297306	0.658586	1.07082	1.97329	0.167487	0.292955	0.159199	0.116826	0.191263	0.0722706	0.121497	1.018241
800	-557.8874	-539.7546	-18.13283	11.39767	2.715233	0.014575	0.0256876	0.0797458	0.0521097	0.0185166	0.0103304	0.0179695	0.0338367	0.0203051	0.0307402	0.0162919	0.024712	0.101496	0.0586485	0.0215391	0.00871684	0.0156208	0.0417861	0.00696996	0.0085591	0.0301702	0.0422991	0.00127834	0.0954741	0.00380264	0.0083834	0.0244181	0.0417928	0.000573328	4.79022e-05	0.0158425	0.0438988	0.00577013	0.00826132	0.0105102	0.0698092	0.0299301	0.0207946	0.0660783	0.0259436	0.03170102	0.006853073	0.0326055	0.0172804	0.123618	0.0591022	0.0297274	0.00410687	0.0577313	0.0449287	0.017817	0.0267627	0.0732121	0.134081	0.122214	0.150365	0.106448	0.1493251	6	67.49759	0.02715596	0.365957	0.714434	1.0807	1.83891	0.234548	0.245083	0.166074	0.15127	0.0857191	0.117307	0.1561782	0.9561202
900	-541.4166	-510.8087	-30.60784	24.34062	2.677113	0.0450973	0.00618845	0.0672138	0.0325142	0.0115599	0.00169488	0.0166802	0.0196088	0.0136013	0.0280281	0.00380326	0.017764	0.00607647	0.105649	0.0459565	0.0129676	0.00406926	0.0188526	0.01988	0.0677656	0.0228973	0.045322	0.000775004	0.00913572	0.0127122	0.0590974	0.00759024	0.103383	0.0146669	0.020675	0.0920283	0.0919731	0.00883425	0.0250393	0.0110031	0.0137721	0.0289042	0.00166627	0.0083526	0.00998489	0.03247162	0.002540001	0.0966266	0.0154031	0.148577	0.0257746	0.0705846	0.00659828	0.0599385	0.047334	0.0259315	0.0635367	0.0126792	0.0957367	0.0345565	0.192491	0.104231	0.2037311	5	67.59874	0.01572707	0.36263	0.711923	1.08038	1.84507	0.169267	0.20643	0.197864	0.14754	0.169909	0.108989	0.2062711	0.9876861
